+-----------------+------------+--------------+-------------+---------------------------+-------------+
| department_name | date       | shift        | staff_type  | role                      | staff_count |
| Cheirourgiko    | 2026-05-11 | νυχτερινή    | Ιατρός      | Pediatrics                |           1 |
| Cheirourgiko    | 2026-05-11 | νυχτερινή    | Διοικητικός | Γραμματέας                |           1 |
| Cheirourgiko    | 2026-05-11 | νυχτερινή    | Νοσηλευτής  | Προϊστάμενος              |           1 |
| Cheirourgiko    | 2026-05-11 | νυχτερινή    | Νοσηλευτής  | Βοηθός Νοσηλευτή          |           3 |
| Cheirourgiko    | 2026-05-11 | νυχτερινή    | Ιατρός      | Anesthesiology            |           1 |
| Cheirourgiko    | 2026-05-11 | νυχτερινή    | Νοσηλευτής  | Νοσηλευτής                |           2 |
| Cheirourgiko    | 2026-05-11 | πρωινή       | Νοσηλευτής  | Βοηθός Νοσηλευτή          |           2 |
| Cheirourgiko    | 2026-05-11 | πρωινή       | Διοικητικός | Αρχειοθέτης               |           1 |
| Cheirourgiko    | 2026-05-11 | πρωινή       | Νοσηλευτής  | Νοσηλευτής                |           4 |
| Cheirourgiko    | 2026-05-11 | πρωινή       | Ιατρός      | Oncology                  |           1 |
| Cheirourgiko    | 2026-05-11 | πρωινή       | Ιατρός      | Dermatology               |           1 |
| Cheirourgiko    | 2026-05-11 | πρωινή       | Ιατρός      | Radiology                 |           1 |
| Cheirourgiko    | 2026-05-11 | πρωινή       | Διοικητικός | Υπάλληλος IT              |           1 |
| Dermatologiko   | 2026-05-11 | απογευματινή | Νοσηλευτής  | Νοσηλευτής                |           3 |
| Dermatologiko   | 2026-05-11 | απογευματινή | Ιατρός      | Neurology                 |           1 |
| Dermatologiko   | 2026-05-11 | απογευματινή | Νοσηλευτής  | Βοηθός Νοσηλευτή          |           1 |
| Dermatologiko   | 2026-05-11 | απογευματινή | Νοσηλευτής  | Προϊστάμενος              |           2 |
| Dermatologiko   | 2026-05-11 | απογευματινή | Διοικητικός | Αρχειοθέτης               |           1 |
| Dermatologiko   | 2026-05-11 | απογευματινή | Ιατρός      | Pediatrics                |           1 |
| Dermatologiko   | 2026-05-11 | απογευματινή | Ιατρός      | General Practice          |           1 |
| Dermatologiko   | 2026-05-11 | απογευματινή | Διοικητικός | Υπάλληλος IT              |           1 |
| Dermatologiko   | 2026-05-11 | νυχτερινή    | Νοσηλευτής  | Βοηθός Νοσηλευτή          |           3 |
| Dermatologiko   | 2026-05-11 | νυχτερινή    | Νοσηλευτής  | Προϊστάμενος              |           2 |
| Dermatologiko   | 2026-05-11 | νυχτερινή    | Ιατρός      | Anesthesiology            |           2 |
| Dermatologiko   | 2026-05-11 | νυχτερινή    | Διοικητικός | Υπεύθυνος Προμηθειών      |           1 |
| Dermatologiko   | 2026-05-11 | νυχτερινή    | Διοικητικός | Γραμματέας Τμήματος       |           1 |
| Dermatologiko   | 2026-05-11 | νυχτερινή    | Ιατρός      | Oncology                  |           1 |
| Dermatologiko   | 2026-05-11 | νυχτερινή    | Νοσηλευτής  | Νοσηλευτής                |           1 |
| Dermatologiko   | 2026-05-11 | πρωινή       | Διοικητικός | Γραμματέας Τμήματος       |           1 |
| Dermatologiko   | 2026-05-11 | πρωινή       | Νοσηλευτής  | Νοσηλευτής                |           2 |
| Dermatologiko   | 2026-05-11 | πρωινή       | Διοικητικός | Γραμματέας                |           1 |
| Dermatologiko   | 2026-05-11 | πρωινή       | Ιατρός      | Psychiatry                |           1 |
| Dermatologiko   | 2026-05-11 | πρωινή       | Ιατρός      | Neurology                 |           1 |
| Dermatologiko   | 2026-05-11 | πρωινή       | Νοσηλευτής  | Βοηθός Νοσηλευτή          |           4 |
| Dermatologiko   | 2026-05-11 | πρωινή       | Ιατρός      | Cardiology                |           1 |
| Gynaikologiko   | 2026-05-11 | απογευματινή | Διοικητικός | Γραμματέας Τμήματος       |           1 |
| Gynaikologiko   | 2026-05-11 | απογευματινή | Νοσηλευτής  | Νοσηλευτής                |           4 |
| Gynaikologiko   | 2026-05-11 | απογευματινή | Ιατρός      | Emergency Medicine        |           1 |
| Gynaikologiko   | 2026-05-11 | απογευματινή | Ιατρός      | Orthopedics               |           1 |
| Gynaikologiko   | 2026-05-11 | απογευματινή | Νοσηλευτής  | Βοηθός Νοσηλευτή          |           2 |
| Gynaikologiko   | 2026-05-11 | απογευματινή | Διοικητικός | Λογιστής                  |           1 |
| Gynaikologiko   | 2026-05-11 | απογευματινή | Ιατρός      | Surgery                   |           1 |
| Gynaikologiko   | 2026-05-11 | νυχτερινή    | Νοσηλευτής  | Νοσηλευτής                |           5 |
| Gynaikologiko   | 2026-05-11 | νυχτερινή    | Διοικητικός | Ρεσεψιονίστ               |           1 |
| Gynaikologiko   | 2026-05-11 | νυχτερινή    | Ιατρός      | Cardiology                |           1 |
| Gynaikologiko   | 2026-05-11 | νυχτερινή    | Ιατρός      | Anesthesiology            |           1 |
| Gynaikologiko   | 2026-05-11 | νυχτερινή    | Διοικητικός | Γραμματέας                |           1 |
| Gynaikologiko   | 2026-05-11 | νυχτερινή    | Ιατρός      | General Practice          |           1 |
| Gynaikologiko   | 2026-05-11 | νυχτερινή    | Νοσηλευτής  | Βοηθός Νοσηλευτή          |           1 |
| Gynaikologiko   | 2026-05-11 | πρωινή       | Νοσηλευτής  | Βοηθός Νοσηλευτή          |           1 |
| Gynaikologiko   | 2026-05-11 | πρωινή       | Νοσηλευτής  | Νοσηλευτής                |           4 |
| Gynaikologiko   | 2026-05-11 | πρωινή       | Νοσηλευτής  | Προϊστάμενος              |           1 |
| Gynaikologiko   | 2026-05-11 | πρωινή       | Ιατρός      | Pediatrics                |           1 |
| Gynaikologiko   | 2026-05-11 | πρωινή       | Διοικητικός | Υπάλληλος IT              |           1 |
| Gynaikologiko   | 2026-05-11 | πρωινή       | Διοικητικός | Γραμματέας                |           1 |
| Gynaikologiko   | 2026-05-11 | πρωινή       | Ιατρός      | General Practice          |           1 |
| Gynaikologiko   | 2026-05-11 | πρωινή       | Ιατρός      | Surgery                   |           1 |
| Kardiologiko    | 2026-05-11 | απογευματινή | Νοσηλευτής  | Προϊστάμενος              |           2 |
| Kardiologiko    | 2026-05-11 | απογευματινή | Διοικητικός | Γραμματέας                |           1 |
| Kardiologiko    | 2026-05-11 | απογευματινή | Νοσηλευτής  | Νοσηλευτής                |           1 |
| Kardiologiko    | 2026-05-11 | απογευματινή | Διοικητικός | Ρεσεψιονίστ               |           1 |
| Kardiologiko    | 2026-05-11 | απογευματινή | Νοσηλευτής  | Βοηθός Νοσηλευτή          |           3 |
| Kardiologiko    | 2026-05-11 | απογευματινή | Ιατρός      | Orthopedics               |           1 |
| Kardiologiko    | 2026-05-11 | απογευματινή | Ιατρός      | Urology                   |           1 |
| Kardiologiko    | 2026-05-11 | απογευματινή | Ιατρός      | Surgery                   |           1 |
| Kardiologiko    | 2026-05-11 | νυχτερινή    | Ιατρός      | Internal Medicine         |           1 |
| Kardiologiko    | 2026-05-11 | νυχτερινή    | Νοσηλευτής  | Νοσηλευτής                |           6 |
| Kardiologiko    | 2026-05-11 | νυχτερινή    | Διοικητικός | Γραμματέας Τμήματος       |           1 |
| Kardiologiko    | 2026-05-11 | νυχτερινή    | Ιατρός      | Dermatology               |           1 |
| Kardiologiko    | 2026-05-11 | νυχτερινή    | Ιατρός      | Oncology                  |           1 |
| Kardiologiko    | 2026-05-11 | νυχτερινή    | Διοικητικός | Ρεσεψιονίστ               |           1 |
| Kardiologiko    | 2026-05-11 | πρωινή       | Ιατρός      | Dermatology               |           1 |
| Kardiologiko    | 2026-05-11 | πρωινή       | Νοσηλευτής  | Προϊστάμενος              |           3 |
| Kardiologiko    | 2026-05-11 | πρωινή       | Ιατρός      | Internal Medicine         |           1 |
| Kardiologiko    | 2026-05-11 | πρωινή       | Νοσηλευτής  | Νοσηλευτής                |           3 |
| Kardiologiko    | 2026-05-11 | πρωινή       | Ιατρός      | Anesthesiology            |           1 |
| Kardiologiko    | 2026-05-11 | πρωινή       | Διοικητικός | Υπεύθυνος Προμηθειών      |           1 |
| Kardiologiko    | 2026-05-11 | πρωινή       | Διοικητικός | Γραμματέας Τμήματος       |           1 |
| Nefrologiko     | 2026-05-11 | απογευματινή | Ιατρός      | Surgery                   |           1 |
| Nefrologiko     | 2026-05-11 | απογευματινή | Νοσηλευτής  | Νοσηλευτής                |           4 |
| Nefrologiko     | 2026-05-11 | απογευματινή | Ιατρός      | Pediatrics                |           1 |
| Nefrologiko     | 2026-05-11 | απογευματινή | Διοικητικός | Υπάλληλος IT              |           1 |
| Nefrologiko     | 2026-05-11 | απογευματινή | Διοικητικός | Γραμματέας Τμήματος       |           1 |
| Nefrologiko     | 2026-05-11 | απογευματινή | Ιατρός      | Orthopedics               |           1 |
| Nefrologiko     | 2026-05-11 | απογευματινή | Νοσηλευτής  | Βοηθός Νοσηλευτή          |           2 |
| Nefrologiko     | 2026-05-11 | νυχτερινή    | Νοσηλευτής  | Βοηθός Νοσηλευτή          |           4 |
| Nefrologiko     | 2026-05-11 | νυχτερινή    | Ιατρός      | Pediatrics                |           2 |
| Nefrologiko     | 2026-05-11 | νυχτερινή    | Διοικητικός | Γραμματέας Τμήματος       |           1 |
| Nefrologiko     | 2026-05-11 | νυχτερινή    | Νοσηλευτής  | Νοσηλευτής                |           2 |
| Nefrologiko     | 2026-05-11 | νυχτερινή    | Ιατρός      | Surgery                   |           1 |
| Nefrologiko     | 2026-05-11 | νυχτερινή    | Διοικητικός | Ρεσεψιονίστ               |           1 |
| Nefrologiko     | 2026-05-11 | πρωινή       | Ιατρός      | Dermatology               |           2 |
| Nefrologiko     | 2026-05-11 | πρωινή       | Νοσηλευτής  | Βοηθός Νοσηλευτή          |           3 |
| Nefrologiko     | 2026-05-11 | πρωινή       | Διοικητικός | Αρχειοθέτης               |           1 |
| Nefrologiko     | 2026-05-11 | πρωινή       | Ιατρός      | Surgery                   |           1 |
| Nefrologiko     | 2026-05-11 | πρωινή       | Νοσηλευτής  | Νοσηλευτής                |           2 |
| Nefrologiko     | 2026-05-11 | πρωινή       | Νοσηλευτής  | Προϊστάμενος              |           1 |
| Nefrologiko     | 2026-05-11 | πρωινή       | Διοικητικός | Υπάλληλος IT              |           1 |
| Neurologiko     | 2026-05-11 | απογευματινή | Νοσηλευτής  | Νοσηλευτής                |           3 |
| Neurologiko     | 2026-05-11 | απογευματινή | Ιατρός      | Cardiology                |           1 |
| Neurologiko     | 2026-05-11 | απογευματινή | Διοικητικός | Γραμματέας Τμήματος       |           1 |
| Neurologiko     | 2026-05-11 | απογευματινή | Ιατρός      | Emergency Medicine        |           1 |
| Neurologiko     | 2026-05-11 | απογευματινή | Διοικητικός | Γραμματέας                |           1 |
| Neurologiko     | 2026-05-11 | απογευματινή | Ιατρός      | Obstetrics and Gynecology |           1 |
| Neurologiko     | 2026-05-11 | απογευματινή | Νοσηλευτής  | Προϊστάμενος              |           3 |
| Neurologiko     | 2026-05-11 | νυχτερινή    | Διοικητικός | Ρεσεψιονίστ               |           1 |
| Neurologiko     | 2026-05-11 | νυχτερινή    | Ιατρός      | Obstetrics and Gynecology |           2 |
| Neurologiko     | 2026-05-11 | νυχτερινή    | Ιατρός      | Internal Medicine         |           1 |
| Neurologiko     | 2026-05-11 | νυχτερινή    | Νοσηλευτής  | Βοηθός Νοσηλευτή          |           1 |
| Neurologiko     | 2026-05-11 | νυχτερινή    | Νοσηλευτής  | Νοσηλευτής                |           3 |
| Neurologiko     | 2026-05-11 | νυχτερινή    | Διοικητικός | Υπεύθυνος Προμηθειών      |           1 |
| Neurologiko     | 2026-05-11 | νυχτερινή    | Νοσηλευτής  | Προϊστάμενος              |           2 |
| Neurologiko     | 2026-05-11 | πρωινή       | Νοσηλευτής  | Νοσηλευτής                |           3 |
| Neurologiko     | 2026-05-11 | πρωινή       | Ιατρός      | Anesthesiology            |           2 |
| Neurologiko     | 2026-05-11 | πρωινή       | Διοικητικός | Γραμματέας Τμήματος       |           1 |
| Neurologiko     | 2026-05-11 | πρωινή       | Νοσηλευτής  | Βοηθός Νοσηλευτή          |           3 |
| Neurologiko     | 2026-05-11 | πρωινή       | Διοικητικός | Λογιστής                  |           1 |
| Neurologiko     | 2026-05-11 | πρωινή       | Ιατρός      | Orthopedics               |           1 |
| Ogkologiko      | 2026-05-11 | απογευματινή | Νοσηλευτής  | Νοσηλευτής                |           2 |
| Ogkologiko      | 2026-05-11 | απογευματινή | Νοσηλευτής  | Βοηθός Νοσηλευτή          |           2 |
| Ogkologiko      | 2026-05-11 | απογευματινή | Ιατρός      | Urology                   |           2 |
| Ogkologiko      | 2026-05-11 | απογευματινή | Διοικητικός | Αρχειοθέτης               |           1 |
| Ogkologiko      | 2026-05-11 | απογευματινή | Ιατρός      | General Practice          |           1 |
| Ogkologiko      | 2026-05-11 | απογευματινή | Διοικητικός | Ρεσεψιονίστ               |           1 |
| Ogkologiko      | 2026-05-11 | απογευματινή | Νοσηλευτής  | Προϊστάμενος              |           2 |
| Ogkologiko      | 2026-05-11 | νυχτερινή    | Διοικητικός | Γραμματέας                |           1 |
| Ogkologiko      | 2026-05-11 | νυχτερινή    | Ιατρός      | General Practice          |           1 |
| Ogkologiko      | 2026-05-11 | νυχτερινή    | Ιατρός      | Neurology                 |           1 |
| Ogkologiko      | 2026-05-11 | νυχτερινή    | Διοικητικός | Υπάλληλος IT              |           1 |
| Ogkologiko      | 2026-05-11 | νυχτερινή    | Ιατρός      | Pediatrics                |           1 |
| Ogkologiko      | 2026-05-11 | νυχτερινή    | Νοσηλευτής  | Νοσηλευτής                |           4 |
| Ogkologiko      | 2026-05-11 | νυχτερινή    | Νοσηλευτής  | Βοηθός Νοσηλευτή          |           2 |
| Ogkologiko      | 2026-05-11 | πρωινή       | Νοσηλευτής  | Βοηθός Νοσηλευτή          |           2 |
| Ogkologiko      | 2026-05-11 | πρωινή       | Ιατρός      | Orthopedics               |           1 |
| Ogkologiko      | 2026-05-11 | πρωινή       | Διοικητικός | Υπάλληλος IT              |           1 |
| Ogkologiko      | 2026-05-11 | πρωινή       | Ιατρός      | Emergency Medicine        |           1 |
| Ogkologiko      | 2026-05-11 | πρωινή       | Διοικητικός | Υπεύθυνος Προμηθειών      |           1 |
| Ogkologiko      | 2026-05-11 | πρωινή       | Ιατρός      | Anesthesiology            |           1 |
| Ogkologiko      | 2026-05-11 | πρωινή       | Νοσηλευτής  | Νοσηλευτής                |           4 |
| Orthopediko     | 2026-05-11 | απογευματινή | Ιατρός      | Surgery                   |           1 |
| Orthopediko     | 2026-05-11 | απογευματινή | Νοσηλευτής  | Νοσηλευτής                |           4 |
| Orthopediko     | 2026-05-11 | απογευματινή | Νοσηλευτής  | Βοηθός Νοσηλευτή          |           2 |
| Orthopediko     | 2026-05-11 | απογευματινή | Διοικητικός | Αρχειοθέτης               |           2 |
| Orthopediko     | 2026-05-11 | απογευματινή | Ιατρός      | Oncology                  |           1 |
| Orthopediko     | 2026-05-11 | απογευματινή | Ιατρός      | Radiology                 |           1 |
| Orthopediko     | 2026-05-11 | νυχτερινή    | Νοσηλευτής  | Βοηθός Νοσηλευτή          |           3 |
| Orthopediko     | 2026-05-11 | νυχτερινή    | Ιατρός      | Internal Medicine         |           1 |
| Orthopediko     | 2026-05-11 | νυχτερινή    | Ιατρός      | Psychiatry                |           1 |
| Orthopediko     | 2026-05-11 | νυχτερινή    | Διοικητικός | Γραμματέας                |           1 |
| Orthopediko     | 2026-05-11 | νυχτερινή    | Νοσηλευτής  | Νοσηλευτής                |           3 |
| Orthopediko     | 2026-05-11 | νυχτερινή    | Διοικητικός | Αρχειοθέτης               |           1 |
| Orthopediko     | 2026-05-11 | νυχτερινή    | Ιατρός      | Surgery                   |           1 |
| Orthopediko     | 2026-05-11 | πρωινή       | Νοσηλευτής  | Βοηθός Νοσηλευτή          |           2 |
| Orthopediko     | 2026-05-11 | πρωινή       | Ιατρός      | Dermatology               |           1 |
| Orthopediko     | 2026-05-11 | πρωινή       | Ιατρός      | Surgery                   |           1 |
| Orthopediko     | 2026-05-11 | πρωινή       | Διοικητικός | Γραμματέας                |           1 |
| Orthopediko     | 2026-05-11 | πρωινή       | Νοσηλευτής  | Νοσηλευτής                |           4 |
| Orthopediko     | 2026-05-11 | πρωινή       | Διοικητικός | Αρχειοθέτης               |           1 |
| Orthopediko     | 2026-05-11 | πρωινή       | Ιατρός      | Radiology                 |           1 |
| Ourologiko      | 2026-05-11 | απογευματινή | Διοικητικός | Υπεύθυνος Προμηθειών      |           1 |
| Ourologiko      | 2026-05-11 | απογευματινή | Νοσηλευτής  | Νοσηλευτής                |           5 |
| Ourologiko      | 2026-05-11 | απογευματινή | Ιατρός      | Orthopedics               |           1 |
| Ourologiko      | 2026-05-11 | απογευματινή | Ιατρός      | General Practice          |           1 |
| Ourologiko      | 2026-05-11 | απογευματινή | Ιατρός      | Urology                   |           1 |
| Ourologiko      | 2026-05-11 | απογευματινή | Διοικητικός | Γραμματέας Τμήματος       |           1 |
| Ourologiko      | 2026-05-11 | απογευματινή | Νοσηλευτής  | Βοηθός Νοσηλευτή          |           1 |
| Ourologiko      | 2026-05-11 | νυχτερινή    | Ιατρός      | Cardiology                |           1 |
| Ourologiko      | 2026-05-11 | νυχτερινή    | Ιατρός      | Obstetrics and Gynecology |           1 |
| Ourologiko      | 2026-05-11 | νυχτερινή    | Νοσηλευτής  | Νοσηλευτής                |           3 |
| Ourologiko      | 2026-05-11 | νυχτερινή    | Διοικητικός | Ρεσεψιονίστ               |           1 |
| Ourologiko      | 2026-05-11 | νυχτερινή    | Νοσηλευτής  | Προϊστάμενος              |           2 |
| Ourologiko      | 2026-05-11 | νυχτερινή    | Ιατρός      | Oncology                  |           1 |
| Ourologiko      | 2026-05-11 | νυχτερινή    | Διοικητικός | Γραμματέας                |           1 |
| Ourologiko      | 2026-05-11 | νυχτερινή    | Νοσηλευτής  | Βοηθός Νοσηλευτή          |           1 |
| Ourologiko      | 2026-05-11 | πρωινή       | Ιατρός      | Surgery                   |           1 |
| Ourologiko      | 2026-05-11 | πρωινή       | Διοικητικός | Γραμματέας                |           1 |
| Ourologiko      | 2026-05-11 | πρωινή       | Ιατρός      | General Practice          |           1 |
| Ourologiko      | 2026-05-11 | πρωινή       | Διοικητικός | Ρεσεψιονίστ               |           1 |
| Ourologiko      | 2026-05-11 | πρωινή       | Νοσηλευτής  | Νοσηλευτής                |           6 |
| Ourologiko      | 2026-05-11 | πρωινή       | Ιατρός      | Pediatrics                |           1 |
| Paidiatriko     | 2026-05-11 | απογευματινή | Ιατρός      | Dermatology               |           1 |
| Paidiatriko     | 2026-05-11 | απογευματινή | Διοικητικός | Γραμματέας                |           2 |
| Paidiatriko     | 2026-05-11 | απογευματινή | Νοσηλευτής  | Νοσηλευτής                |           2 |
| Paidiatriko     | 2026-05-11 | απογευματινή | Νοσηλευτής  | Βοηθός Νοσηλευτή          |           3 |
| Paidiatriko     | 2026-05-11 | απογευματινή | Ιατρός      | Cardiology                |           1 |
| Paidiatriko     | 2026-05-11 | απογευματινή | Νοσηλευτής  | Προϊστάμενος              |           1 |
| Paidiatriko     | 2026-05-11 | απογευματινή | Ιατρός      | Radiology                 |           1 |
| Paidiatriko     | 2026-05-11 | νυχτερινή    | Ιατρός      | Dermatology               |           1 |
| Paidiatriko     | 2026-05-11 | νυχτερινή    | Νοσηλευτής  | Νοσηλευτής                |           1 |
| Paidiatriko     | 2026-05-11 | νυχτερινή    | Ιατρός      | Internal Medicine         |           1 |
| Paidiatriko     | 2026-05-11 | νυχτερινή    | Διοικητικός | Ρεσεψιονίστ               |           1 |
| Paidiatriko     | 2026-05-11 | νυχτερινή    | Νοσηλευτής  | Βοηθός Νοσηλευτή          |           5 |
| Paidiatriko     | 2026-05-11 | νυχτερινή    | Διοικητικός | Υπάλληλος IT              |           1 |
| Paidiatriko     | 2026-05-11 | νυχτερινή    | Ιατρός      | Radiology                 |           1 |
| Paidiatriko     | 2026-05-11 | πρωινή       | Ιατρός      | Neurology                 |           1 |
| Paidiatriko     | 2026-05-11 | πρωινή       | Νοσηλευτής  | Βοηθός Νοσηλευτή          |           3 |
| Paidiatriko     | 2026-05-11 | πρωινή       | Ιατρός      | Orthopedics               |           1 |
| Paidiatriko     | 2026-05-11 | πρωινή       | Ιατρός      | General Practice          |           1 |
| Paidiatriko     | 2026-05-11 | πρωινή       | Διοικητικός | Λογιστής                  |           2 |
| Paidiatriko     | 2026-05-11 | πρωινή       | Νοσηλευτής  | Προϊστάμενος              |           2 |
| Paidiatriko     | 2026-05-11 | πρωινή       | Νοσηλευτής  | Νοσηλευτής                |           1 |
| Pathologiko     | 2026-05-11 | απογευματινή | Νοσηλευτής  | Νοσηλευτής                |           3 |
| Pathologiko     | 2026-05-11 | απογευματινή | Νοσηλευτής  | Βοηθός Νοσηλευτή          |           3 |
| Pathologiko     | 2026-05-11 | απογευματινή | Ιατρός      | Psychiatry                |           1 |
| Pathologiko     | 2026-05-11 | απογευματινή | Διοικητικός | Αρχειοθέτης               |           1 |
| Pathologiko     | 2026-05-11 | απογευματινή | Ιατρός      | Anesthesiology            |           1 |
| Pathologiko     | 2026-05-11 | απογευματινή | Διοικητικός | Λογιστής                  |           1 |
| Pathologiko     | 2026-05-11 | απογευματινή | Ιατρός      | Dermatology               |           1 |
| Pathologiko     | 2026-05-11 | νυχτερινή    | Διοικητικός | Γραμματέας Τμήματος       |           1 |
| Pathologiko     | 2026-05-11 | νυχτερινή    | Διοικητικός | Λογιστής                  |           1 |
| Pathologiko     | 2026-05-11 | νυχτερινή    | Ιατρός      | Radiology                 |           1 |
| Pathologiko     | 2026-05-11 | νυχτερινή    | Νοσηλευτής  | Βοηθός Νοσηλευτή          |           1 |
| Pathologiko     | 2026-05-11 | νυχτερινή    | Νοσηλευτής  | Νοσηλευτής                |           4 |
| Pathologiko     | 2026-05-11 | νυχτερινή    | Ιατρός      | Neurology                 |           2 |
| Pathologiko     | 2026-05-11 | νυχτερινή    | Νοσηλευτής  | Προϊστάμενος              |           1 |
| Pathologiko     | 2026-05-11 | πρωινή       | Ιατρός      | Cardiology                |           1 |
| Pathologiko     | 2026-05-11 | πρωινή       | Νοσηλευτής  | Βοηθός Νοσηλευτή          |           3 |
| Pathologiko     | 2026-05-11 | πρωινή       | Ιατρός      | Emergency Medicine        |           1 |
| Pathologiko     | 2026-05-11 | πρωινή       | Διοικητικός | Λογιστής                  |           1 |
| Pathologiko     | 2026-05-11 | πρωινή       | Ιατρός      | Anesthesiology            |           1 |
| Pathologiko     | 2026-05-11 | πρωινή       | Διοικητικός | Ρεσεψιονίστ               |           1 |
| Pathologiko     | 2026-05-11 | πρωινή       | Νοσηλευτής  | Νοσηλευτής                |           3 |
| Pnevmonologiko  | 2026-05-11 | απογευματινή | Ιατρός      | Oncology                  |           1 |
| Pnevmonologiko  | 2026-05-11 | απογευματινή | Νοσηλευτής  | Βοηθός Νοσηλευτή          |           2 |
| Pnevmonologiko  | 2026-05-11 | απογευματινή | Διοικητικός | Ρεσεψιονίστ               |           2 |
| Pnevmonologiko  | 2026-05-11 | απογευματινή | Ιατρός      | Surgery                   |           1 |
| Pnevmonologiko  | 2026-05-11 | απογευματινή | Ιατρός      | Radiology                 |           1 |
| Pnevmonologiko  | 2026-05-11 | απογευματινή | Νοσηλευτής  | Νοσηλευτής                |           4 |
| Pnevmonologiko  | 2026-05-11 | νυχτερινή    | Διοικητικός | Υπεύθυνος Προμηθειών      |           1 |
| Pnevmonologiko  | 2026-05-11 | νυχτερινή    | Ιατρός      | Radiology                 |           1 |
| Pnevmonologiko  | 2026-05-11 | νυχτερινή    | Ιατρός      | Surgery                   |           1 |
| Pnevmonologiko  | 2026-05-11 | νυχτερινή    | Νοσηλευτής  | Προϊστάμενος              |           1 |
| Pnevmonologiko  | 2026-05-11 | νυχτερινή    | Ιατρός      | Anesthesiology            |           1 |
| Pnevmonologiko  | 2026-05-11 | νυχτερινή    | Νοσηλευτής  | Βοηθός Νοσηλευτή          |           4 |
| Pnevmonologiko  | 2026-05-11 | νυχτερινή    | Νοσηλευτής  | Νοσηλευτής                |           1 |
| Pnevmonologiko  | 2026-05-11 | νυχτερινή    | Διοικητικός | Αρχειοθέτης               |           1 |
