+-----------------+----------------+----------+-----------------------------------+------------------+-----------------+------------------+---------------+
| department_name | admission_year | ken_code | insurance_provider                | total_admissions | total_base_cost | total_extra_cost | total_revenue |
| Aimatologiko    |           2026 | Π02Χ     | Ιδιωτική Ασφάλεια                 |                1 |         2771.00 |             0.00 |       2771.00 |
| Aimatologiko    |           2026 | Θ21Α     | ΕΦΚΑ                              |                1 |         2599.00 |             0.00 |       2599.00 |
| Aimatologiko    |           2026 | Λ02Μ     | Ανασφάλιστος                      |                1 |         1743.00 |           792.84 |       2535.84 |
| Aimatologiko    |           2026 | Ν07Μ     | Ιδιωτική Ασφάλεια                 |                1 |         2513.00 |             0.00 |       2513.00 |
| Aimatologiko    |           2026 | Δ28Α     | Ανασφάλιστος                      |                1 |          382.00 |          1977.17 |       2359.17 |
| Aimatologiko    |           2026 | Ω30Μ     | Ιδιωτική Ασφάλεια                 |                1 |         2288.00 |             0.00 |       2288.00 |
| Aimatologiko    |           2026 | Β06Χ     | Ιδιωτική Ασφάλεια                 |                1 |         1659.00 |           528.00 |       2187.00 |
| Aimatologiko    |           2026 | Μ73Χ     | ΕΦΚΑ                              |                1 |          584.00 |          1505.88 |       2089.88 |
| Aimatologiko    |           2026 | Η02Χ     | Ιδιωτική Ασφάλεια                 |                1 |         2079.00 |             0.00 |       2079.00 |
| Aimatologiko    |           2026 | Κ31Μ     | ΕΦΚΑ                              |                1 |         2038.00 |             0.00 |       2038.00 |
| Aimatologiko    |           2026 | Κ15Χ     | Ιδιωτική Ασφάλεια                 |                1 |         2013.00 |             0.00 |       2013.00 |
| Aimatologiko    |           2026 | Ν22Α     | ΕΦΚΑ                              |                1 |          243.00 |          1698.13 |       1941.13 |
| Aimatologiko    |           2026 | Ο02Α     | Ιδιωτική Ασφάλεια                 |                1 |         1611.00 |           280.19 |       1891.19 |
| Aimatologiko    |           2026 | Κ35Χ     | Ιδιωτική Ασφάλεια                 |                1 |          521.00 |          1257.60 |       1778.60 |
| Aimatologiko    |           2026 | Ν30Χ     | Ιδιωτική Ασφάλεια                 |                1 |         1191.00 |           538.52 |       1729.52 |
| Aimatologiko    |           2026 | Α27Χ     | Ιδιωτική Ασφάλεια                 |                1 |          350.00 |          1291.84 |       1641.84 |
| Aimatologiko    |           2026 | Κ35Μ     | ΕΦΚΑ                              |                1 |         1502.00 |             0.00 |       1502.00 |
| Aimatologiko    |           2026 | Η42Χ     | Ανασφάλιστος                      |                1 |          708.00 |           538.15 |       1246.15 |
| Aimatologiko    |           2026 | Ν32Χ     | Ιδιωτική Ασφάλεια                 |                1 |         1183.00 |             0.00 |       1183.00 |
| Aimatologiko    |           2026 | Μ68Χ     | Ιδιωτική Ασφάλεια                 |                1 |          731.00 |             0.00 |        731.00 |
| Aimatologiko    |           2026 | Μ23Α     | Ιδιωτική Ασφάλεια                 |                1 |          661.00 |             0.00 |        661.00 |
| Aimatologiko    |           2026 | Ζ22Χ     | Ιδιωτική Ασφάλεια                 |                1 |          397.00 |             0.00 |        397.00 |
| Cheirourgiko    |           2026 | Ε05Α     | Ανασφάλιστος                      |                1 |        34279.00 |             0.00 |      34279.00 |
| Cheirourgiko    |           2026 | Τ06Μ     | Ιδιωτική Ασφάλεια                 |                1 |        15128.00 |             0.00 |      15128.00 |
| Cheirourgiko    |           2026 | Τ23Α     | ΕΦΚΑ                              |                1 |         7359.00 |             0.00 |       7359.00 |
| Cheirourgiko    |           2026 | Μ04Μ     | ΕΦΚΑ                              |                1 |         7042.00 |             0.00 |       7042.00 |
| Cheirourgiko    |           2026 | Ο04Α     | Ιδιωτική Ασφάλεια                 |                1 |         1356.00 |          4317.00 |       5673.00 |
| Cheirourgiko    |           2026 | Μ07Α     | ΕΦΚΑ                              |                1 |         5235.00 |             0.00 |       5235.00 |
| Cheirourgiko    |           2026 | Ν07Μ     | ΕΦΚΑ                              |                1 |         2513.00 |          2456.00 |       4969.00 |
| Cheirourgiko    |           2026 | Α10Χ     | Ιδιωτική Ασφάλεια                 |                1 |         4627.00 |             0.00 |       4627.00 |
| Cheirourgiko    |           2026 | Κ35Μ     | ΕΦΚΑ                              |                1 |         1502.00 |          2862.63 |       4364.63 |
| Cheirourgiko    |           2026 | Α26Μβ    | ΕΦΚΑ                              |                1 |         1175.00 |          3003.11 |       4178.11 |
| Cheirourgiko    |           2026 | Μ29Α     | ΕΦΚΑ                              |                1 |         1903.00 |          2250.60 |       4153.60 |
| Cheirourgiko    |           2026 | Λ01Μ     | Ιδιωτική Ασφάλεια                 |                1 |         2171.00 |          1493.70 |       3664.70 |
| Cheirourgiko    |           2026 | Π27Α     | Ιδιωτική Ασφάλεια                 |                1 |          265.00 |          3333.59 |       3598.59 |
| Cheirourgiko    |           2026 | Ξ02Χ     | Ιδιωτική Ασφάλεια                 |                1 |          781.00 |          2747.30 |       3528.30 |
| Cheirourgiko    |           2026 | Μ65Χ     | Ιδιωτική Ασφάλεια                 |                2 |         2444.00 |           989.73 |       3433.73 |
| Cheirourgiko    |           2026 | Κ36Μ     | Ιδιωτική Ασφάλεια                 |                1 |          957.00 |          2295.52 |       3252.52 |
| Cheirourgiko    |           2026 | Ο17Α     | Ιδιωτική Ασφάλεια                 |                1 |         2423.00 |             0.00 |       2423.00 |
| Cheirourgiko    |           2026 | Τ26Μβ    | Ιδιωτική Ασφάλεια                 |                1 |         2346.00 |             0.00 |       2346.00 |
| Cheirourgiko    |           2026 | Π05Μβ    | Ανασφάλιστος                      |                1 |         2085.00 |             0.00 |       2085.00 |
| Cheirourgiko    |           2026 | Λ04Χ     | ΕΦΚΑ                              |                1 |          571.00 |          1359.30 |       1930.30 |
| Cheirourgiko    |           2026 | Α35Μα    | ΕΦΚΑ                              |                1 |         1556.00 |           350.84 |       1906.84 |
| Cheirourgiko    |           2026 | Ν21Χ     | ΕΦΚΑ                              |                1 |         1885.00 |             0.00 |       1885.00 |
| Cheirourgiko    |           2026 | S20Χ     | Ανασφάλιστος                      |                1 |         1759.00 |             0.00 |       1759.00 |
| Cheirourgiko    |           2026 | S20Χ     | ΕΦΚΑ                              |                1 |         1759.00 |             0.00 |       1759.00 |
| Cheirourgiko    |           2026 | Τ26Μγ    | ΕΦΚΑ                              |                1 |         1644.00 |             0.00 |       1644.00 |
| Cheirourgiko    |           2026 | Κ42Χ     | Ιδιωτική Ασφάλεια                 |                1 |          934.00 |           519.84 |       1453.84 |
| Cheirourgiko    |           2026 | Β22Α     | ΕΦΚΑ                              |                1 |          545.00 |           871.86 |       1416.86 |
| Cheirourgiko    |           2026 | Η42Χ     | ΕΦΚΑ                              |                1 |          708.00 |           645.78 |       1353.78 |
| Cheirourgiko    |           2026 | Κ31Χ     | ΕΦΚΑ                              |                1 |         1183.00 |             0.00 |       1183.00 |
| Cheirourgiko    |           2026 | Φ22Χ     | ΕΦΚΑ                              |                1 |          827.00 |             0.00 |        827.00 |
| Cheirourgiko    |           2026 | Τ27Χ     | ΕΦΚΑ                              |                1 |          428.00 |             0.00 |        428.00 |
| Cheirourgiko    |           2026 | Κ44Α     | Ιδιωτική Ασφάλεια                 |                1 |          311.00 |             0.00 |        311.00 |
| Dermatologiko   |           2026 | Τ02Α     | Ιδιωτική Ασφάλεια                 |                1 |        20279.00 |             0.00 |      20279.00 |
| Dermatologiko   |           2026 | Κ05Μ     | Ιδιωτική Ασφάλεια                 |                1 |        10023.00 |             0.00 |      10023.00 |
| Dermatologiko   |           2026 | Μ10Χ     | Ιδιωτική Ασφάλεια                 |                1 |         1908.00 |          5720.40 |       7628.40 |
| Dermatologiko   |           2026 | Μ28Χ     | Ιδιωτική Ασφάλεια                 |                1 |         1379.00 |          3781.57 |       5160.57 |
| Dermatologiko   |           2026 | Η02Μα    | Ανασφάλιστος                      |                1 |         5111.00 |             0.00 |       5111.00 |
| Dermatologiko   |           2026 | Μ72Μ     | Ιδιωτική Ασφάλεια                 |                2 |         3362.00 |           929.12 |       4291.12 |
| Dermatologiko   |           2026 | Π45Χ     | ΕΦΚΑ                              |                1 |          623.00 |          3094.02 |       3717.02 |
| Dermatologiko   |           2026 | Κ33Α     | Ανασφάλιστος                      |                1 |         3132.00 |           252.08 |       3384.08 |
| Dermatologiko   |           2026 | Ν10Α     | ΕΦΚΑ                              |                1 |          163.00 |          3044.72 |       3207.72 |
| Dermatologiko   |           2026 | Ξ02Χ     | ΕΦΚΑ                              |                1 |          781.00 |          2197.84 |       2978.84 |
| Dermatologiko   |           2026 | Ο11Α     | Ιδιωτική Ασφάλεια                 |                1 |          639.00 |          2298.14 |       2937.14 |
| Dermatologiko   |           2026 | Π26Χ     | Ιδιωτική Ασφάλεια                 |                1 |         1245.00 |          1631.84 |       2876.84 |
| Dermatologiko   |           2026 | Π44Μ     | ΕΦΚΑ                              |                1 |         1097.00 |          1743.30 |       2840.30 |
| Dermatologiko   |           2026 | Π03Χα    | Ιδιωτική Ασφάλεια                 |                1 |         2826.00 |             0.00 |       2826.00 |
| Dermatologiko   |           2026 | Α33Μα    | Ιδιωτική Ασφάλεια                 |                1 |         2023.00 |           799.85 |       2822.85 |
| Dermatologiko   |           2026 | Η40Μα    | Ιδιωτική Ασφάλεια                 |                1 |         2654.00 |             0.00 |       2654.00 |
| Dermatologiko   |           2026 | Μ19Μ     | ΕΦΚΑ                              |                1 |         2648.00 |             0.00 |       2648.00 |
| Dermatologiko   |           2026 | Θ05Μ     | Ιδιωτική Ασφάλεια                 |                1 |         2587.00 |             0.00 |       2587.00 |
| Dermatologiko   |           2026 | Ν20Χ     | Ιδιωτική Ασφάλεια                 |                1 |         2576.00 |             0.00 |       2576.00 |
| Dermatologiko   |           2026 | Η07Χ     | Ιδιωτική Ασφάλεια                 |                1 |         2037.00 |           434.48 |       2471.48 |
| Dermatologiko   |           2026 | Ν24Μ     | Ιδιωτική Ασφάλεια                 |                1 |         2389.00 |             0.00 |       2389.00 |
| Dermatologiko   |           2026 | Ν38Μ     | Ιδιωτική Ασφάλεια                 |                1 |         2327.00 |             0.00 |       2327.00 |
| Dermatologiko   |           2026 | Κ20Α     | Ανασφάλιστος                      |                1 |          760.00 |          1495.52 |       2255.52 |
| Dermatologiko   |           2026 | Δ23Χ     | Ιδιωτική Ασφάλεια                 |                1 |          366.00 |          1876.00 |       2242.00 |
| Dermatologiko   |           2026 | Υ08Χ     | ΕΦΚΑ                              |                1 |          631.00 |          1535.58 |       2166.58 |
| Dermatologiko   |           2026 | Δ28Μ     | ΕΦΚΑ                              |                1 |         1969.00 |             0.00 |       1969.00 |
| Dermatologiko   |           2026 | Ν41Μ     | Ανασφάλιστος                      |                1 |         1837.00 |             0.00 |       1837.00 |
| Dermatologiko   |           2026 | Μ60Α     | ΕΦΚΑ                              |                1 |         1720.00 |             0.00 |       1720.00 |
| Dermatologiko   |           2026 | Ν11Α     | Ιδιωτική Ασφάλεια                 |                1 |         1331.00 |           233.76 |       1564.76 |
| Dermatologiko   |           2026 | Κ37Χ     | ΕΦΚΑ                              |                1 |          459.00 |           853.32 |       1312.32 |
| Dermatologiko   |           2026 | Β02Χ     | Ιδιωτική Ασφάλεια                 |                1 |         1007.00 |             0.00 |       1007.00 |
| Dermatologiko   |           2026 | Ζ22Χ     | Ιδιωτική Ασφάλεια                 |                1 |          397.00 |           122.68 |        519.68 |
| Dermatologiko   |           2026 | Λ21Α     | Ιδιωτική Ασφάλεια                 |                1 |          420.00 |             0.00 |        420.00 |
| Gynaikologiko   |           2026 | Κ04Μ     | ΕΦΚΑ                              |                1 |        13155.00 |             0.00 |      13155.00 |
| Gynaikologiko   |           2026 | Κ30Μ     | Ιδιωτική Ασφάλεια                 |                1 |         6295.00 |          3778.74 |      10073.74 |
| Gynaikologiko   |           2026 | Κ08Μ     | Ιδιωτική Ασφάλεια                 |                1 |         8956.00 |             0.00 |       8956.00 |
| Gynaikologiko   |           2026 | Ζ02Μ     | ΕΦΚΑ                              |                1 |         7225.00 |          1059.55 |       8284.55 |
| Gynaikologiko   |           2026 | Τ23Α     | Ανασφάλιστος                      |                1 |         7359.00 |             0.00 |       7359.00 |
| Gynaikologiko   |           2026 | Ο22Α     | ΕΦΚΑ                              |                1 |          327.00 |          5943.89 |       6270.89 |
| Gynaikologiko   |           2026 | Θ07Α     | Ιδιωτική Ασφάλεια                 |                1 |         1276.00 |          4868.37 |       6144.37 |
| Gynaikologiko   |           2026 | G01Μα    | ΕΦΚΑ                              |                1 |         5709.00 |           213.73 |       5922.73 |
| Gynaikologiko   |           2026 | Η02Μα    | Ιδιωτική Ασφάλεια                 |                1 |         5111.00 |             0.00 |       5111.00 |
| Gynaikologiko   |           2026 | Δ28Μ     | Ιδιωτική Ασφάλεια                 |                1 |         1969.00 |          2338.08 |       4307.08 |
| Gynaikologiko   |           2026 | Λ21Α     | Ιδιωτική Ασφάλεια                 |                1 |          420.00 |          3882.84 |       4302.84 |
| Gynaikologiko   |           2026 | Ν12Χ     | ΕΦΚΑ                              |                1 |         3720.00 |            89.80 |       3809.80 |
| Gynaikologiko   |           2026 | Κ37Χ     | ΕΦΚΑ                              |                1 |          459.00 |          3271.06 |       3730.06 |
| Gynaikologiko   |           2026 | Ι22Μ     | Ιδιωτική Ασφάλεια                 |                1 |          910.00 |          2807.20 |       3717.20 |
| Gynaikologiko   |           2026 | Ο17Α     | Ιδιωτική Ασφάλεια                 |                1 |         2423.00 |             0.00 |       2423.00 |
| Gynaikologiko   |           2026 | Α30Μ     | Ιδιωτική Ασφάλεια                 |                1 |         1331.00 |          1039.88 |       2370.88 |
| Gynaikologiko   |           2026 | Μ68Μ     | ΕΦΚΑ                              |                1 |         1712.00 |           502.44 |       2214.44 |
| Gynaikologiko   |           2026 | Α02Μβ    | Ιδιωτική Ασφάλεια                 |                1 |         1595.00 |           434.45 |       2029.45 |
| Gynaikologiko   |           2026 | Η42Μ     | ΕΦΚΑ                              |                1 |         1938.00 |             0.00 |       1938.00 |
| Gynaikologiko   |           2026 | Ν35Α     | Ιδιωτική Ασφάλεια                 |                1 |          350.00 |          1431.90 |       1781.90 |
| Gynaikologiko   |           2026 | Η20Χ     | Ιδιωτική Ασφάλεια                 |                1 |         1517.00 |             0.00 |       1517.00 |
| Gynaikologiko   |           2026 | Ρ10Χ     | ΕΦΚΑ                              |                1 |         1473.00 |             0.00 |       1473.00 |
| Gynaikologiko   |           2026 | Υ07Μ     | ΕΦΚΑ                              |                1 |         1218.00 |           245.94 |       1463.94 |
| Gynaikologiko   |           2026 | Κ35Χ     | Ιδιωτική Ασφάλεια                 |                1 |          521.00 |           707.40 |       1228.40 |
| Gynaikologiko   |           2026 | Ν32Χ     | Ιδιωτική Ασφάλεια                 |                1 |         1183.00 |             0.00 |       1183.00 |
| Gynaikologiko   |           2026 | Φ62Μ     | ΕΦΚΑ                              |                1 |         1183.00 |             0.00 |       1183.00 |
| Gynaikologiko   |           2026 | Π27Χ     | Ιδιωτική Ασφάλεια                 |                1 |          988.00 |             0.00 |        988.00 |
| Gynaikologiko   |           2026 | Δ24Χ     | Ιδιωτική Ασφάλεια                 |                1 |          802.00 |             0.00 |        802.00 |
| Gynaikologiko   |           2026 | Κ45Χ     | ΕΦΚΑ                              |                1 |          521.00 |             0.00 |        521.00 |
| Gynaikologiko   |           2026 | Π50Χ     | Ιδιωτική Ασφάλεια                 |                1 |          374.00 |             0.00 |        374.00 |
| Gynaikologiko   |           2026 | Α27Χ     | ΕΦΚΑ                              |                1 |          350.00 |             0.00 |        350.00 |
| Kardiologiko    |           2026 | Κ32Μ     | ΕΦΚΑ                              |              200 |       412400.00 |             0.00 |     412400.00 |
| Kardiologiko    |           2026 | Κ03Χ     | ΕΦΚΑ                              |                1 |        11734.00 |             0.00 |      11734.00 |
| Kardiologiko    |           2026 | Ε11Μ     | Ανασφάλιστος                      |                1 |        10704.00 |             0.00 |      10704.00 |
| Kardiologiko    |           2026 | Μ04Χ     | Ιδιωτική Ασφάλεια                 |                1 |         6611.00 |          3836.69 |      10447.69 |
| Kardiologiko    |           2026 | Ν02Χ     | ΕΦΚΑ                              |                1 |         3836.00 |          3377.28 |       7213.28 |
| Kardiologiko    |           2026 | Ν04Μ     | Ιδιωτική Ασφάλεια                 |                1 |         4267.00 |          2749.67 |       7016.67 |
| Kardiologiko    |           2026 | Ν20Μ     | Ιδιωτική Ασφάλεια                 |                1 |         6919.00 |             0.00 |       6919.00 |
| Kardiologiko    |           2026 | Μ03Χ     | ΕΦΚΑ                              |                1 |         6411.00 |             0.00 |       6411.00 |
| Kardiologiko    |           2026 | Μ08Μ     | Ιδιωτική Ασφάλεια                 |                1 |         4449.00 |             0.00 |       4449.00 |
| Kardiologiko    |           2026 | Σ02Χβ    | ΕΦΚΑ                              |                1 |         2056.00 |          2259.54 |       4315.54 |
| Kardiologiko    |           2026 | Α11Χ     | ΕΦΚΑ                              |                1 |         3635.00 |           542.74 |       4177.74 |
| Kardiologiko    |           2026 | Κ45Χ     | ΕΦΚΑ                              |                1 |          521.00 |          3424.44 |       3945.44 |
| Kardiologiko    |           2026 | Α34Μα    | ΕΦΚΑ                              |                1 |         1977.00 |          1875.44 |       3852.44 |
| Kardiologiko    |           2026 | Ω13Α     | Ανασφάλιστος                      |                1 |          347.00 |          3023.44 |       3370.44 |
| Kardiologiko    |           2026 | Α27Χ     | Ιδιωτική Ασφάλεια                 |                1 |          350.00 |          2906.64 |       3256.64 |
| Kardiologiko    |           2026 | Ω36Χ     | Ιδιωτική Ασφάλεια                 |                1 |          243.00 |          2949.30 |       3192.30 |
| Kardiologiko    |           2026 | Ι22Μ     | Ιδιωτική Ασφάλεια                 |                1 |          910.00 |          2280.85 |       3190.85 |
| Kardiologiko    |           2026 | Σ03Χ     | ΕΦΚΑ                              |                1 |         1099.00 |          1843.31 |       2942.31 |
| Kardiologiko    |           2026 | Κ38Μ     | ΕΦΚΑ                              |                1 |         1284.00 |          1611.76 |       2895.76 |
| Kardiologiko    |           2026 | Ν29Χ     | ΕΦΚΑ                              |                1 |          545.00 |          2198.80 |       2743.80 |
| Kardiologiko    |           2026 | Ω30Χ     | Ιδιωτική Ασφάλεια                 |                1 |          545.00 |          2041.60 |       2586.60 |
| Kardiologiko    |           2026 | Γ07Α     | Ιδιωτική Ασφάλεια                 |                1 |          742.00 |          1828.82 |       2570.82 |
| Kardiologiko    |           2026 | Ν07Μ     | ΕΦΚΑ                              |                1 |         2513.00 |             0.00 |       2513.00 |
| Kardiologiko    |           2026 | Ο12Α     | Ιδιωτική Ασφάλεια                 |                1 |          583.00 |          1733.76 |       2316.76 |
| Kardiologiko    |           2026 | Ρ24Μβ    | Ιδιωτική Ασφάλεια                 |                1 |         1401.00 |           757.71 |       2158.71 |
| Kardiologiko    |           2026 | Ω37Α     | ΕΦΚΑ                              |                1 |          254.00 |          1900.71 |       2154.71 |
| Kardiologiko    |           2026 | Λ03Χ     | Ιδιωτική Ασφάλεια                 |                1 |          886.00 |          1154.12 |       2040.12 |
| Kardiologiko    |           2026 | Μ25Χ     | Ιδιωτική Ασφάλεια                 |                1 |         1260.00 |           641.70 |       1901.70 |
| Kardiologiko    |           2026 | Ο02Α     | Ιδιωτική Ασφάλεια                 |                1 |         1611.00 |           280.19 |       1891.19 |
| Kardiologiko    |           2026 | Ρ24Μβ    | ΕΦΚΑ                              |                1 |         1401.00 |           168.38 |       1569.38 |
| Kardiologiko    |           2026 | Υ23Μ     | ΕΦΚΑ                              |                1 |         1564.00 |             0.00 |       1564.00 |
| Kardiologiko    |           2026 | Ζ22Μ     | Ιδιωτική Ασφάλεια                 |                1 |         1167.00 |            79.17 |       1246.17 |
| Kardiologiko    |           2026 | Κ32Α     | Ιδιωτική Ασφάλεια                 |                1 |         1043.00 |             0.00 |       1043.00 |
| Kardiologiko    |           2026 | Γ21Α     | Ιδιωτική Ασφάλεια                 |                1 |          475.00 |           465.04 |        940.04 |
| Kardiologiko    |           2026 | Μ63Χ     | Ιδιωτική Ασφάλεια                 |                1 |          444.00 |             0.00 |        444.00 |
| Kardiologiko    |           2026 | Υ25Χ     | Ιδιωτική Ασφάλεια                 |                1 |          405.00 |             0.00 |        405.00 |
| Kardiologiko    |           2026 | Ζ22Χ     | Ιδιωτική Ασφάλεια                 |                1 |          397.00 |             0.00 |        397.00 |
| Nefrologiko     |           2026 | Μ01Χ     | ΕΦΚΑ                              |                1 |         9606.00 |           195.78 |       9801.78 |
| Nefrologiko     |           2026 | G01Μα    | Ανασφάλιστος                      |                1 |         5709.00 |             0.00 |       5709.00 |
| Nefrologiko     |           2026 | Ν36Μ     | Ιδιωτική Ασφάλεια                 |                1 |         1486.00 |          4144.84 |       5630.84 |
| Nefrologiko     |           2026 | Ν21Μ     | Ιδιωτική Ασφάλεια                 |                1 |         4960.00 |             0.00 |       4960.00 |
| Nefrologiko     |           2026 | Ω37Β     | ΕΦΚΑ                              |                1 |          661.00 |          4266.24 |       4927.24 |
| Nefrologiko     |           2026 | Ρ20Χ     | ΕΦΚΑ                              |                1 |         1261.00 |          3256.24 |       4517.24 |
| Nefrologiko     |           2026 | Κ32Α     | ΕΦΚΑ                              |                1 |         1043.00 |          3363.49 |       4406.49 |
| Nefrologiko     |           2026 | Κ15Χ     | Ιδιωτική Ασφάλεια                 |                1 |         2013.00 |          2202.36 |       4215.36 |
| Nefrologiko     |           2026 | Κ32Μ     | Ιδιωτική Ασφάλεια                 |                1 |         2062.00 |          2010.96 |       4072.96 |
| Nefrologiko     |           2026 | Κ18Μ     | ΕΦΚΑ                              |                1 |         2226.00 |          1728.65 |       3954.65 |
| Nefrologiko     |           2026 | Ν32Μ     | Ανασφάλιστος                      |                1 |         3175.00 |           295.89 |       3470.89 |
| Nefrologiko     |           2026 | Δ28Μ     | Ιδιωτική Ασφάλεια                 |                1 |         1969.00 |          1461.30 |       3430.30 |
| Nefrologiko     |           2026 | Ν30Μα    | Ιδιωτική Ασφάλεια                 |                1 |         3408.00 |             0.00 |       3408.00 |
| Nefrologiko     |           2026 | Χ45Α     | ΕΦΚΑ                              |                1 |          965.00 |          1975.20 |       2940.20 |
| Nefrologiko     |           2026 | Θ01Χ     | Ιδιωτική Ασφάλεια                 |                1 |         2801.00 |             0.00 |       2801.00 |
| Nefrologiko     |           2026 | Π03Χβ    | ΕΦΚΑ                              |                1 |         1813.00 |           957.40 |       2770.40 |
| Nefrologiko     |           2026 | S20Α     | Ανασφάλιστος                      |                1 |          934.00 |          1618.76 |       2552.76 |
| Nefrologiko     |           2026 | Υ22Χ     | ΕΦΚΑ                              |                1 |          545.00 |          1975.44 |       2520.44 |
| Nefrologiko     |           2026 | Α36Α     | ΕΦΚΑ                              |                1 |         2412.00 |             0.00 |       2412.00 |
| Nefrologiko     |           2026 | Υ06Μ     | Ιδιωτική Ασφάλεια                 |                1 |         2381.00 |             0.00 |       2381.00 |
| Nefrologiko     |           2026 | Η42Μ     | Ιδιωτική Ασφάλεια                 |                1 |         1938.00 |             0.00 |       1938.00 |
| Nefrologiko     |           2026 | Μ71Χ     | ΕΦΚΑ                              |                1 |          405.00 |          1300.32 |       1705.32 |
| Nefrologiko     |           2026 | Δ20Χ     | Ιδιωτική Ασφάλεια                 |                1 |         1471.00 |           220.76 |       1691.76 |
| Nefrologiko     |           2026 | Υ05Χ     | Ιδιωτική Ασφάλεια                 |                1 |         1000.00 |           635.79 |       1635.79 |
| Nefrologiko     |           2026 | Θ06Χ     | ΕΦΚΑ                              |                1 |         1581.00 |             0.00 |       1581.00 |
| Nefrologiko     |           2026 | Ρ22Μ     | Ιδιωτική Ασφάλεια                 |                1 |         1105.00 |             0.00 |       1105.00 |
| Nefrologiko     |           2026 | Α35Μβ    | Ιδιωτική Ασφάλεια                 |                1 |          973.00 |             0.00 |        973.00 |
| Nefrologiko     |           2026 | Φ24Χ     | ΕΦΚΑ                              |                1 |          934.00 |             0.00 |        934.00 |
| Nefrologiko     |           2026 | Κ44Α     | ΕΦΚΑ                              |                1 |          311.00 |           581.85 |        892.85 |
| Neurologiko     |           2026 | Η01Μ     | Ιδιωτική Ασφάλεια                 |                1 |         7916.00 |             0.00 |       7916.00 |
| Neurologiko     |           2026 | Ρ10Μα    | Ανασφάλιστος                      |                1 |         7118.00 |             0.00 |       7118.00 |
| Neurologiko     |           2026 | Β06Χ     | ΕΦΚΑ                              |                1 |         1659.00 |          4752.00 |       6411.00 |
| Neurologiko     |           2026 | Η02Μα    | Ιδιωτική Ασφάλεια                 |                1 |         5111.00 |             0.00 |       5111.00 |
| Neurologiko     |           2026 | Η01Χ     | Ιδιωτική Ασφάλεια                 |                1 |         3682.00 |           895.80 |       4577.80 |
| Neurologiko     |           2026 | Κ32Χ     | Ιδιωτική Ασφάλεια                 |                1 |         1089.00 |          3084.38 |       4173.38 |
| Neurologiko     |           2026 | Η20Χ     | Ιδιωτική Ασφάλεια                 |                1 |         1517.00 |          2591.88 |       4108.88 |
| Neurologiko     |           2026 | Σ21Μ     | ΕΦΚΑ                              |                1 |         3782.00 |             0.00 |       3782.00 |
| Neurologiko     |           2026 | Δ06Α     | Ανασφάλιστος                      |                1 |         1383.00 |          2268.36 |       3651.36 |
| Neurologiko     |           2026 | Μ68Μ     | Ιδιωτική Ασφάλεια                 |                1 |         1712.00 |          1842.28 |       3554.28 |
| Neurologiko     |           2026 | Η20Χ     | ΕΦΚΑ                              |                1 |         1517.00 |          1511.93 |       3028.93 |
| Neurologiko     |           2026 | Α01Χ     | ΕΦΚΑ                              |                1 |         2712.00 |           291.98 |       3003.98 |
| Neurologiko     |           2026 | Μ65Χ     | Ιδιωτική Ασφάλεια                 |                1 |         1222.00 |          1759.52 |       2981.52 |
