+------------------------------------------------------------------------------------------------------+-------------------+------------------+
| substance                                                                                            | allergic_patients | drugs_containing |
| Haemophilus Type B Conjugate Vaccine (Tetanus Toxoid Conjugate)                                      |                 1 |                1 |
| Cilazapril Monohydrate                                                                               |                 1 |                1 |
| Riboflavin Sodium Phosphate, Thiamine Hydrochloride, Dexpanthenol, Nicotinamide, Pyridoxine Hydrochl |                 1 |                1 |
| Edoxaban                                                                                             |                 1 |                2 |
| Fluvastatin Sodium                                                                                   |                 1 |                1 |
| Phenobarbital                                                                                        |                 1 |                2 |
| Eribulin                                                                                             |                 1 |                1 |
| Proxymetacaine Hydrochloride                                                                         |                 1 |                1 |
| Carboplatin                                                                                          |                 1 |                3 |
| Doconexent, Icosapent                                                                                |                 1 |                5 |
| Apraclonidine                                                                                        |                 1 |                1 |
| Neomycin Sulfate, Dexamethasone, Acetic Acid                                                         |                 1 |                1 |
| Diflucortolone Valerate, Isoconazole Nitrate                                                         |                 1 |                1 |
| Tamoxifen                                                                                            |                 1 |                2 |
| Influenza Virus B/Austria/1359417/2021-Like Strain (B/Austria/1359417/2021, Bvr-26), Influenza A/Vic |                 1 |                2 |
| Penciclovir                                                                                          |                 1 |                2 |
| Sodium Selenite                                                                                      |                 1 |                3 |
| Tadalafil                                                                                            |                 1 |               19 |
| Norfloxacin                                                                                          |                 1 |                6 |
| Pregabalin                                                                                           |                 1 |               11 |
| Indapamide, Perindopril Arginine                                                                     |                 1 |                2 |
| Piperacillin Sodium, Tazobactam Sodium                                                               |                 1 |                2 |
| Sodium Iodide (131i)                                                                                 |                 1 |                5 |
| Hydrocortisone                                                                                       |                 1 |                8 |
| Valine, Alanine, Arginine, Isoleucine, Leucine, Methionine, Phenylalanine, Proline, Serine, Threonin |                 1 |                3 |
| Zinc Sulphate Monohydrate                                                                            |                 1 |                2 |
| Nintedanib Esylate                                                                                   |                 1 |                1 |
| Dinoprostone                                                                                         |                 1 |                2 |
| Ifosfamide                                                                                           |                 1 |                1 |
| Gentamicin Sulfate, Dexamethasone                                                                    |                 1 |                1 |
| Thiocolchicoside, Paracetamol Ph. Eur.                                                               |                 1 |                2 |
| Ipratropium Bromide Anhydrous                                                                        |                 1 |                1 |
| Sugammadex                                                                                           |                 1 |                9 |
| Lithium Carbonate                                                                                    |                 1 |                1 |
| Rhubarb Extract, Salicylic Acid                                                                      |                 1 |                1 |
| Ganciclovir                                                                                          |                 1 |                2 |
| Sodium Hyaluronate                                                                                   |                 1 |                5 |
| Carvedilol                                                                                           |                 1 |                5 |
| (3s,10s,14s)-1-[4-[[(2s)-4-Carboxy-2-[(2s)-4-Carboxy-2-(6-[18f] Fluoropyridin-3-Amido)butanamido]but |                 1 |                1 |
| Meloxicam, Crospovidone                                                                              |                 1 |                1 |
| Palonosetron                                                                                         |                 1 |                5 |
| Methylprednisolone                                                                                   |                 1 |                3 |
| Aripiprazole                                                                                         |                 1 |               14 |
| Linezolid                                                                                            |                 1 |                9 |
| Insulin Human                                                                                        |                 1 |                5 |
| Medronate Tetrasodium                                                                                |                 1 |                1 |
| Gadobenate Dimeglumine                                                                               |                 1 |                1 |
| Fluoxetine Hydrochloride                                                                             |                 1 |                2 |
| Lanthanum                                                                                            |                 1 |                1 |
| Lidocaine Hydrochloride Monohydrate, Phenylephrine Hydrochloride, Tropicamide                        |                 1 |                1 |
| Dipotassium Phosphate, Glycine, Magnesium Chloride Hexahydrate, Sodium Chloride, Calcium Chloride Di |                 1 |                1 |
| Oxaprozin                                                                                            |                 1 |                1 |
| Tribenoside, Lidocaine Hydrochloride                                                                 |                 1 |                1 |
| Atovaquone                                                                                           |                 1 |                2 |
| Benzalkonium Chloride, Dexamethasone Sodium Phosphate                                                |                 0 |                1 |
| Nitrous Oxide, Oxygen                                                                                |                 0 |                2 |
| Chloroquine Phosphate                                                                                |                 0 |                1 |
| Raloxifene Hydrochloride                                                                             |                 0 |                1 |
| Diphtheria Toxoid, Tetanus Toxoid, Pertussis Toxoid, Pertussis Filamentous Haemagglutinin, Pertussis |                 0 |                1 |
| Testosterone                                                                                         |                 0 |                2 |
| Indapamide, Amlodipine Besilate, Perindopril Arginine                                                |                 0 |                2 |
| Aciclovir                                                                                            |                 0 |               17 |
| Manidipine Dihydrochloride                                                                           |                 0 |                3 |
| Bisoprolol Fumarate, Amlodipine                                                                      |                 0 |                1 |
| Ciprofloxacin Hydrochloride                                                                          |                 0 |                3 |
| Dry Extract (3-6:1) Of Gentian Root, Primula Flowers, Sorrel Herb, Elder Flowers, Vervaine Herb (1:3 |                 0 |                1 |
| Timolol Maleate, Travoprost                                                                          |                 0 |                2 |
| Fulvestrant                                                                                          |                 0 |                3 |
| Iron Sucrose                                                                                         |                 0 |                6 |
| Metformin Hydrochloride                                                                              |                 0 |               12 |
| Cabazitaxel 2-Propanol Solvate                                                                       |                 0 |                1 |
| Paricalcitol                                                                                         |                 0 |                9 |
| Clozapine                                                                                            |                 0 |                1 |
| Entecavir                                                                                            |                 0 |                4 |
| Treprostinil                                                                                         |                 0 |                3 |
| Glucosamine Hydrochloride                                                                            |                 0 |                5 |
| Lactulose                                                                                            |                 0 |                2 |
| Anagrelide                                                                                           |                 0 |                2 |
| Micronised Purified Flavonoic Fraction                                                               |                 0 |                1 |
| Capsicum Annuum                                                                                      |                 0 |                1 |
| Piracetam                                                                                            |                 0 |                5 |
| Deferoxamine Mesilate                                                                                |                 0 |                3 |
| Sodium Molybdate (99mo)                                                                              |                 0 |                1 |
| Estradiol Valerate                                                                                   |                 0 |                2 |
| Valsartan, Amlodipine, Hydrochlorothiazide                                                           |                 0 |                4 |
| Hexetidine                                                                                           |                 0 |                1 |
| Levothyroxine Sodium                                                                                 |                 0 |               11 |
| Atorvastatin Calcium Trihydrate                                                                      |                 0 |                5 |
| Nandrolone Decanoate                                                                                 |                 0 |                3 |
| Cefotaxime Sodium                                                                                    |                 0 |               10 |
| Pravastatin Sodium                                                                                   |                 0 |               11 |
| Diazepam                                                                                             |                 0 |                2 |
| Sultamicillin Tosilate                                                                               |                 0 |                1 |
| Ferric Carboxymaltose                                                                                |                 0 |                3 |
| Zoledronic Acid Monohydrate                                                                          |                 0 |                2 |
| Hydrocortisone Sodium Phosphate                                                                      |                 0 |                4 |
| Lurasidone                                                                                           |                 0 |                3 |
| Chlorhexidine Gluconate, Lidocaine Hydrochloride Monohydrate, Tyrothricin                            |                 0 |                1 |
| Rabeprazole Sodium                                                                                   |                 0 |                4 |
| Diphenhydramine Hydrochloride, Paracetamol                                                           |                 0 |                1 |
| Teriflunomide                                                                                        |                 0 |               10 |
| Fluorescein Sodium                                                                                   |                 0 |                1 |
| Imiquimod                                                                                            |                 0 |                2 |
| Acetylsalicylic Acid, Aluminium Hydroxide Gel, Dried, Magnesium Hydroxide                            |                 0 |                1 |
| Bismuth Oxide                                                                                        |                 0 |                1 |
| Ondansetron Hydrochloride Dihydrate                                                                  |                 0 |                2 |
| Cinnarizine, Dimenhydrinate                                                                          |                 0 |                3 |
| Rivastigmine Hydrogen Tartrate                                                                       |                 0 |                6 |
| Dronabinol, Cannabidiol                                                                              |                 0 |               15 |
| Timolol Maleate, Bimatoprost                                                                         |                 0 |                2 |
| Fosfomycin Trometamol                                                                                |                 0 |                1 |
| Iron Protein Succinylate                                                                             |                 0 |                2 |
| Amikacin                                                                                             |                 0 |               10 |
| Butamirate Citrate                                                                                   |                 0 |               20 |
| Paracetamol, Thiocolchicoside                                                                        |                 0 |                3 |
| Clotrimazole, Dexamethasone                                                                          |                 0 |                1 |
| Enalapril Maleate, Nitrendipine                                                                      |                 0 |                2 |
| Travoprost                                                                                           |                 0 |                8 |
| Gliclazide                                                                                           |                 0 |                3 |
| Lactobacillus Plantarum P 17630                                                                      |                 0 |                1 |
| Ampicillin, Sulbactam                                                                                |                 0 |                2 |
| Miconazole                                                                                           |                 0 |                2 |
| Cannabinol, Dronabinol                                                                               |                 0 |                1 |
| Pipamperone Hydrochloride                                                                            |                 0 |                1 |
| Dasatinib                                                                                            |                 0 |                2 |
| Esomeprazole Magnesium Trihydrate                                                                    |                 0 |                1 |
| Hepatitis B Surface Antigen (Rdna), Algeldrate                                                       |                 0 |                2 |
| Levomepromazine Maleate                                                                              |                 0 |                1 |
| Atomoxetine Hydrochloride                                                                            |                 0 |                1 |
| Nadroparin Calcium                                                                                   |                 0 |                1 |
| Cefixime                                                                                             |                 0 |                3 |
| Pramipexole Dihydrochloride Monohydrate                                                              |                 0 |                8 |
| Dextran 70, Hypromellose                                                                             |                 0 |                1 |
| Sulfur D6, Arnica Montana D2, Sanguinaria Canadensis D2, Solanum Dulcamara D2, Rhus Toxicodendron D2 |                 0 |                1 |
| Fentanyl                                                                                             |                 0 |                8 |
| Zofenopril Calcium                                                                                   |                 0 |                2 |
| Losartan Potassium, Hydrochlorothiazide                                                              |                 0 |               15 |
| Bendamustine Hydrochloride                                                                           |                 0 |                3 |
| Nitric Oxide                                                                                         |                 0 |                1 |
| Quetiapine                                                                                           |                 0 |               22 |
| Diosmin                                                                                              |                 0 |                1 |
| Terbinafine                                                                                          |                 0 |                7 |
| Fluocinolone Acetonide, Lidocaine Hydrochloride                                                      |                 0 |                1 |
| Iloprost Trometamol                                                                                  |                 0 |                1 |
| Acetylcholine Chloride                                                                               |                 0 |                1 |
| Magnesium Pidolate                                                                                   |                 0 |                3 |
| Biperiden Hydrochloride                                                                              |                 0 |                1 |
| Cinchocaine Hydrochloride, Hexachlorophene, Prednisolone, Undecylenic Acid                           |                 0 |                1 |
| Risperidone                                                                                          |                 0 |               38 |
| Doxylamine Hydrogen Succinate                                                                        |                 0 |                1 |
| Tigecycline                                                                                          |                 0 |                4 |
| Foscarbidopa, Foslevodopa                                                                            |                 0 |                1 |
| Iron                                                                                                 |                 0 |                9 |
| Amantadine Hydrochloride                                                                             |                 0 |                1 |
| Meropenem Anhydrous                                                                                  |                 0 |               14 |
| Buserelin Acetate                                                                                    |                 0 |                1 |
| Paracetamol, Hyoscine Butylbromide                                                                   |                 0 |                4 |
| Clopidogrel Besilate                                                                                 |                 0 |                4 |
| Sevoflurane                                                                                          |                 0 |                2 |
| Enalapril Maleate                                                                                    |                 0 |                4 |
| Tramazoline Hydrochloride Monohydrate                                                                |                 0 |                1 |
| Germanium (68ge) Chloride                                                                            |                 0 |                1 |
| Lacosamide                                                                                           |                 0 |               10 |
| Amphotericine B, Liposome                                                                            |                 0 |                1 |
| Camellia Sinensis (Green Tea) Leaf Extract                                                           |                 0 |                1 |
| Pinaverium Bromide                                                                                   |                 0 |                1 |
| Dapoxetine                                                                                           |                 0 |                2 |
| Sodium Hydrogen Carbonate, Potassium Chloride, Sodium Chloride, Sodium Sulfate Anhydrous, Macrogol 4 |                 0 |                1 |
| Eslicarbazepine Acetate                                                                              |                 0 |                1 |
| Valine, Alanine, Arginine, Histidine, Isoleucine, Leucine, Methionine, Phenylalanine, Proline, Serin |                 0 |               21 |
| Heparin Sodium, Zinc Sulphate Monohydrate                                                            |                 0 |                2 |
| Levoleucovorin                                                                                       |                 0 |                2 |
| Atenolol                                                                                             |                 0 |                3 |
| Myrtecaine, Diethylamine Salicylate                                                                  |                 0 |                1 |
| Cefepime                                                                                             |                 0 |                3 |
| Povidone, Poly(Vinyl Alcohol)                                                                        |                 0 |                1 |
| Sulfametrole, Trimethoprim                                                                           |                 0 |                1 |
| Febuxostat                                                                                           |                 0 |                5 |
| Zinc Chloride, Potassium Iodide, Sodium Selenite, Copper Chloride Dihydrate, Manganese Chloride Tetr |                 0 |                1 |
| Hydrochlorothiazide, Losartan                                                                        |                 0 |                1 |
| Lornoxicam                                                                                           |                 0 |                3 |
| Bellis Perennis D2, Echinacea D2, Hypericum Perforatum D2, Mercurius Solubilis Hahnemanni D 8, Achil |                 0 |                1 |
| Nintedanib                                                                                           |                 0 |                6 |
| Chlordiazepoxide, Clidinium Bromide                                                                  |                 0 |                1 |
| Dimetindene Maleate, Phenylephrine                                                                   |                 0 |                1 |
| Flumazenil                                                                                           |                 0 |                4 |
| Idarubicin Hydrochloride                                                                             |                 0 |                2 |
| Magnesium Hydroxide, Aluminium Hydroxide                                                             |                 0 |                2 |
| Bilastine                                                                                            |                 0 |                4 |
| Olopatadine                                                                                          |                 0 |                2 |
| Cinacalcet                                                                                           |                 0 |                8 |
| Risedronate Monosodium Hemi-Pentahydrate                                                             |                 0 |                3 |
| Doxorubicin Hydrochloride                                                                            |                 0 |                3 |
| Tibolone                                                                                             |                 0 |                2 |
| Formoterol Fumarate                                                                                  |                 0 |                5 |
| Irbesartan                                                                                           |                 0 |                9 |
| Mepivacaine Hydrochloride                                                                            |                 0 |                2 |
| Buprenorphine                                                                                        |                 0 |                3 |
| Clomipramine Hydrochloride                                                                           |                 0 |                1 |
| Sertraline Hydrochloride                                                                             |                 0 |                3 |
| Emtricitabine, Efavirenz, Tenofovir Disoproxil Succinate                                             |                 0 |                1 |
| Tramadol Hydrochloride                                                                               |                 0 |                5 |
| Gentamicin                                                                                           |                 0 |                3 |
| Ketotifen                                                                                            |                 0 |                4 |
| Amoxicillin Trihydrate, Potassium Clavulanate                                                        |                 0 |                1 |
| Metoprolol Tartrate                                                                                  |                 0 |                2 |
| Calcium, Glucose, Lactic Acid, Magnesium, Potassium, Sodium, Chloride Ion, Hydrogen Carbonate        |                 0 |                1 |
| Pilocarpine Hydrochloride                                                                            |                 0 |                9 |
| Dalbavancin                                                                                          |                 0 |                4 |
| Sodium Hydrogen Carbonate, Magnesium Chloride Hexahydrate, Sodium Chloride, Calcium Chloride Dihydra |                 0 |               12 |
| Erythromycin, Zinc Acetate                                                                           |                 0 |                3 |
| Valganciclovir Hydrochloride                                                                         |                 0 |                3 |
| Haloperidol                                                                                          |                 0 |                2 |
| Levodropropizine                                                                                     |                 0 |                3 |
| Ascorbic Acid, Ergocalciferol, Calcium Carbonate, Pyridoxine Hydrochloride, Citric Acid              |                 0 |                1 |
| Mupirocin Calcium                                                                                    |                 0 |                2 |
| Cefatrizine                                                                                          |                 0 |                2 |
| Potassium Hydrogen Carbonate, Sodium Alginate                                                        |                 0 |                1 |
| Dexibuprofen                                                                                         |                 0 |                1 |
| Sulfadiazine Silver                                                                                  |                 0 |                1 |
| Famciclovir                                                                                          |                 0 |                2 |
| Zanamivir                                                                                            |                 0 |                1 |
| Hydrochlorothiazide, Candesartan Cilexetil                                                           |                 0 |                3 |
| Loratadine                                                                                           |                 0 |                7 |
| Beclometasone Dipropionate                                                                           |                 0 |                2 |
| Nilotinib                                                                                            |                 0 |                6 |
| Chloramphenicol Sodium Succinate                                                                     |                 0 |                1 |
| Pyridostigmine Bromide                                                                               |                 0 |                1 |
| Ibuprofen, Codeine Phosphate Hemihydrate                                                             |                 0 |                1 |
| Aceclofenac                                                                                          |                 0 |                6 |
| Betiatide                                                                                            |                 0 |                1 |
| Olmesartan Medoxomil, Hydrochlorothiazide                                                            |                 0 |                5 |
| Cilazapril, Hydrochlorothiazide                                                                      |                 0 |                1 |
| Rifamycin Sodium                                                                                     |                 0 |                1 |
| Dorzolamide, Timolol                                                                                 |                 0 |                5 |
| Thiocolchicoside                                                                                     |                 0 |                4 |
| Folic Acid, Dried Ferrous Sulfate                                                                    |                 0 |                2 |
| Ipratropium Bromide                                                                                  |                 0 |                3 |
| Alprostadil                                                                                          |                 0 |                3 |
| Menthol, Camphor                                                                                     |                 0 |                1 |
| Budesonide, Salmeterol                                                                               |                 0 |                2 |
| Pantothenate Sodium, Riboflavin Sodium Phosphate, Biotin, Cyanocobalamin, Folic Acid, Nicotinamide,  |                 0 |                1 |
| Clobetasol Propionate                                                                                |                 0 |                5 |
| Serrapeptase                                                                                         |                 0 |                1 |
| Eletriptan                                                                                           |                 0 |                2 |
| Gefitinib                                                                                            |                 0 |                3 |
| Ketoprofen                                                                                           |                 0 |                4 |
| Amorolfine Hydrochloride                                                                             |                 0 |                3 |
| Metoclopramide Hydrochloride, Paracetamol                                                            |                 0 |                1 |
| Calcium Gluconate                                                                                    |                 0 |                2 |
| Phenylephrine Hydrochloride, Guaifenesin, Paracetamol                                                |                 0 |                1 |
