code,description,category
A400141,"ΑΝΑΙΣΘΗΣΙΑ ΓΙΑ ΕΝΔΟΣΤΟΜΑΤΙΚΕΣ ΕΠΕΜΒΑΣΕΙΣ, ΣΥΜΠΕΡΙΛΑΜΒΑΝΟΜΕΝΗΣ ΤΗΣ ΒΙΟΨΙΑΣ· ΔΕΝ ΠΡΟΣΔΙΟΡΙΖΕΤΑΙ ΠΕΡΑΙΤΕΡΩ",Α
A400145,"ΑΝΑΙΣΘΗΣΙΑ ΓΙΑ ΕΝΔΟΣΤΟΜΑΤΙΚΕΣ ΕΠΕΜΒΑΣΕΙΣ, ΣΥΜΠΕΡΙΛΑΜΒΑΝΟΜΕΝΗΣ ΤΗΣ ΒΙΟΨΙΑΣ· ΑΠΟΚΑΤΑΣΤΑΣΗ ΥΠΕΡΩΙΟΣΧΙΣΤΙΑΣ (ΛΥΚΟΣΤΟΜΑ)",Α
A400149,"ΑΝΑΙΣΘΗΣΙΑ ΓΙΑ ΕΝΔΟΣΤΟΜΑΤΙΚΕΣ ΕΠΕΜΒΑΣΕΙΣ, ΣΥΜΠΕΡΙΛΑΜΒΑΝΟΜΕΝΗΣ ΤΗΣ ΒΙΟΨΙΑΣ· ΕΚΤΟΜΗ ΟΠΙΣΘΟΦΑΡΥΓΓΙΚΟΥ ΟΓΚΟΥ",Α
A400153,"ΑΝΑΙΣΘΗΣΙΑ ΓΙΑ ΕΝΔΟΣΤΟΜΑΤΙΚΕΣ ΕΠΕΜΒΑΣΕΙΣ, ΣΥΜΠΕΡΙΛΑΜΒΑΝΟΜΕΝΗΣ ΤΗΣ ΒΙΟΨΙΑΣ· ΡΙΖΙΚΗ ΕΠΕΜΒΑΣΗ",Α
A400181,ΑΝΑΙΣΘΗΣΙΑ ΓΙΑ ΕΠΕΜΒΑΣΕΙΣ ΠΟΥ ΑΦΟΡΟΥΝ TA ΟΣΤΑ ΤΟΥ ΠΡΟΣΩΠΟΥ Ή ΤΟ ΚΡΑΝΙΟ.ΔΕΝ ΠΡΟΣΔΙΟΡΙΖΕΤΑΙ ΠΕΡΑΙΤΕΡΩ,Α
A400185,ΑΝΑΙΣΘΗΣΙΑ ΓΙΑ ΕΠΕΜΒΑΣΕΙΣ ΠΟΥ ΑΦΟΡΟΥΝ ΤΑ ΟΣΤΑ ΤΟΥ ΠΡΟΣΩΠΟΥ Ή ΤΟ ΚΡΑΝΙΟ.ΡΙΖΙΚΗ ΕΠΕΜΒΑΣΗ (ΣΥΜΠΕΡΙΛΑΜΒΑΝΟΜΕΝΟΥ ΤΟΥ ΠΡΟΓΝΑΘΙΣΜΟΥ),Α
A400221,ΑΝΑΙΣΘΗΣΙΑ ΓΙΑ ΕΝΔΟΚΡΑΝΙΑΚΕΣ ΕΠΕΜΒΑΣΕΙΣ· ΔΕΝ ΠΡΟΣΔΙΟΡΙΖΕΤΑΙ ΠΕΡΑΙΤΕΡΩ,Α
A400223,ΑΝΑΙΣΘΗΣΙΑ ΓΙΑ ΕΝΔΟΚΡΑΝΙΑΚΕΣ ΕΠΕΜΒΑΣΕΙΣ· ΚΡΑΝΙΟΤΟΜΗ Ή ΚΡΑΝΙΕΚΤΟΜΗ ΓΙΑ ΤΗΝ ΠΑΡΟΧΕΤΕΥΣΗ ΑΙΜΑΤΩΜΑΤΟΣ,Α
A400225,ΑΝΑΙΣΘΗΣΙΑ ΓΙΑ ΕΝΔΟΚΡΑΝΙΑΚΕΣ ΕΠΕΜΒΑΣΕΙΣ· ΥΠΟΣΚΛΗΡΙΔΙΕΣ ΠΑΡΑΚΕΝΤΗΣΕΙΣ,Α
A400229,"ΑΝΑΙΣΘΗΣΙΑ ΓΙΑ ΕΝΔΟΚΡΑΝΙΑΚΕΣ ΕΠΕΜΒΑΣΕΙΣ· ΟΠΕΣ ΚΡΑΝΙΟΑΝΑΤΡΗΣΗΣ, ΣΥΜΠΕΡΙΛΑΜΒΑΝΟΜΕΝΗΣ ΤΗΣ ΚΟΙΛΙΟΓΡΑΦΙΑΣ",Α
A400231,"ΑΝΑΙΣΘΗΣΙΑ ΓΙΑ ΕΝΔΟΚΡΑΝΙΑΚΕΣ ΕΠΕΜΒΑΣΕΙΣ· ΚΡΑΝΙΟΠΛΑΣΤΙΚΗ Ή ΕΠΑΝΑΦΟΡΑ ΣΥΜΠΙΕΣΤΙΚΟΥ ΚΡΑΝΙΑΚΟΥ ΚΑΤΑΓΜΑΤΟΣ, ΕΠΙΣΚΛΗΡΙΔΙΟΥ (ΑΠΛΟΥ Ή ΣΥΝΘΕΤΟΥ)",Α
A400233,ΑΝΑΙΣΘΗΣΙΑ ΓΙΑ ΕΝΔΟΚΡΑΝΙΑΚΕΣ ΕΠΕΜΒΑΣΕΙΣ· ΕΠΕΜΒΑΣΕΙΣ ΠΟΥ ΑΦΟΡΟΥΝ ΑΓΓΕΙΑ,Α
A400237,ΑΝΑΙΣΘΗΣΙΑ ΓΙΑ ΕΝΔΟΚΡΑΝΙΑΚΕΣ ΕΠΕΜΒΑΣΕΙΣ· ΕΠΕΜΒΑΣΕΙΣ ΜΕ ΤΟΝ ΑΣΘΕΝΗ ΣΕ ΚΑΘΙΣΤΗ ΣΤΑΣΗ,Α
A400241,ΑΝΑΙΣΘΗΣΙΑ ΓΙΑ ΕΝΔΟΚΡΑΝΙΑΚΕΣ ΕΠΕΜΒΑΣΕΙΣ· ΕΠΕΜΒΑΣΕΙΣ ΠΑΡΟΧΕΤΕΥΣΗΣ ΕΓΚΕΦΑΛΟΝΩΤΙΑΙΟΥ ΥΓΡΟΥ,Α
A400245,ΑΝΑΙΣΘΗΣΙΑ ΓΙΑ ΕΝΔΟΚΡΑΝΙΑΚΕΣ ΕΠΕΜΒΑΣΕΙΣ· ΗΛΕΚΤΡΟΚΑΥΤΗΡΙΑΣΗ ΤΟΥ ΕΝΔΟΚΡΑΝΙΑΚΟΥ ΝΕΥΡΟΥ,Α
A400401,"ΑΝΑΙΣΘΗΣΙΑ ΓΙΑ ΟΛΕΣ ΤΙΣ ΕΠΕΜΒΑΣΕΙΣ ΠΟΥ ΑΦΟΡΟΥΝ ΤΟ ΔΕΡΜΑ, ΤΟΥΣ ΜΥΕΣ ΚΑΙ ΤΑ ΝΕΥΡΑ ΤΗΣ ΚΕΦΑΛΗΣ, ΤΟΥ ΑΥΧΕΝΑ ΚΑΙ ΤΟΥ ΟΠΙΣΘΙΟΥ ΤΜΗΜΑΤΟΣ ΤΟΥ ΚΟΡΜΟΥ·ΔΕΝ ΠΡΟΣΔΙΟΡΙΖΕΤΑΙ ΠΕΡΑΙΤΕΡΩ",Α
A400441,"ΑΝΑΙΣΘΗΣΙΑ ΓΙΑ ΟΛΕΣ ΤΙΣ ΕΠΕΜΒΑΣΕΙΣ ΠΟΥ ΑΦΟΡΟΥΝ ΤΟΝ ΟΙΣΟΦΑΓΟ, ΤΟΝ ΘΥΡΕΟΕΙΔΗ, ΤΟΝ ΛΑΡΥΓΓΑ, ΤΗΝ ΤΡΑΧΕΙΑ ΚΑΙ ΤΟ ΛΕΜΦΙΚΟ ΣΥΣΤΗΜΑ ΤΟΥ ΑΥΧΕΝΑ· ΔΕΝ ΠΡΟΣΔΙΟΡΙΖΕΤΑΙ ΠΕΡΑΙΤΕΡΩ, ΓΙΑ ΗΛΙΚΙΕΣ ΕΝΟΣ ΕΤΟΥΣ ΚΑΙ ΠΑΝΩ",Α
A400445,"ΑΝΑΙΣΘΗΣΙΑ ΓΙΑ ΟΛΕΣ ΤΙΣ ΕΠΕΜΒΑΣΕΙΣ ΠΟΥ ΑΦΟΡΟΥΝ ΤΟΝ ΟΙΣΟΦΑΓΟ, ΤΟΝ ΘΥΡΕΟΕΙΔΗ, ΤΟΝ ΛΑΡΥΓΓΑ, ΤΗΝ ΤΡΑΧΕΙΑ ΚΑΙ ΤΟ ΛΕΜΦΙΚΟ ΣΥΣΤΗΜΑ ΤΟΥ ΑΥΧΕΝΑ· ΒΙΟΨΙΑ ΔΙ' ΑΝΑΡΡΟΦΗΣΗΣ ΜΕ ΒΕΛΟΝΑ ΑΠΟ ΤΟΝ ΘΥΡΕΟΕΙΔΗ",Α
A400453,ΑΝΑΙΣΘΗΣΙΑ ΓΙΑ ΟΛΕΣ ΤΙΣ ΕΠΕΜΒΑΣΕΙΣ ΠΟΥ ΑΦΟΡΟΥΝ ΤΟΝ ΛΑΡΥΓΓΑ ΚΑΙ ΤΗΝ ΤΡΑΧΕΙΑ ΣΕ ΠΑΙΔΙΑ ΜΙΚΡΟΤΕΡΑ ΤΟΥ ΕΝΟΣ ΕΤΟΥΣ,Α
A400501,ΑΝΑΙΣΘΗΣΙΑ ΓΙΑ ΕΠΕΜΒΑΣΕΙΣ ΠΟΥ ΑΦΟΡΟΥΝ ΤΑ ΚΥΡΙΑ ΑΓΓΕΙΑ ΤΟΥ ΑΥΧΕΝΑ· ΔΕΝ ΠΡΟΣΔΙΟΡΙΖΕΤΑΙ ΠΕΡΑΙΤΕΡΩ,Α
A400505,ΑΝΑΙΣΘΗΣΙΑ ΓΙΑ ΕΠΕΜΒΑΣΕΙΣ ΠΟΥ ΑΦΟΡΟΥΝ ΤΑ ΚΥΡΙΑ ΑΓΓΕΙΑ ΤΟΥ ΑΥΧΕΝΑ· ΑΠΛΗ ΑΠΟΛΙΝΩΣΗ,Α
A400601,"ΑΝΑΙΣΘΗΣΙΑ ΓΙΑ ΕΠΕΜΒΑΣΕΙΣ ΠΟΥ ΑΦΟΡΟΥΝ ΤΟ ΔΕΡΜΑ ΣΤΑ ΑΚΡΑ, ΤΟ ΠΡΟΣΘΙΟ ΤΜΗΜΑ ΤΟΥ ΚΟΡΜΟΥ ΚΑΙ ΤΟ ΠΕΡΙΝΕΟ·ΔΕΝ ΠΡΟΣΔΙΟΡΙΖΕΤΑΙ ΠΕΡΑΙΤΕΡΩ",Α
A400605,"ΑΝΑΙΣΘΗΣΙΑ ΓΙΑ ΕΠΕΜΒΑΣΕΙΣ ΠΟΥ ΑΦΟΡΟΥΝ ΤΟ ΔΕΡΜΑ ΣΤΑ ΑΚΡΑ, ΤΟ ΠΡΟΣΘΙΟ ΤΜΗΜΑ ΤΟΥ ΚΟΡΜΟΥ ΚΑΙ ΤΟ ΠΕΡΙΝΕΟ· ΕΠΑΝΟΡΘΩΤΙΚΕΣ ΕΠΕΜΒΑΣΕΙΣ ΣΤΟ ΓΥΝΑΙΚΕΙΟ ΣΤΗΘΟΣ (Π.Χ. ΜΕΙΩΤΙΚΗ Ή ΑΥΞΗΤΙΚΗ ΠΛΑΣΤΙΚΗ ΣΤΗΘΟΥΣ, ΜΥΙΚΟΙ ΚΡΗΜΝΟΙ)",Α
A400609,"ΑΝΑΙΣΘΗΣΙΑ ΓΙΑ ΕΠΕΜΒΑΣΕΙΣ ΠΟΥ ΑΦΟΡΟΥΝ ΤΟ ΔΕΡΜΑ ΣΤΑ ΑΚΡΑ, ΤΟ ΠΡΟΣΘΙΟ ΤΜΗΜΑ ΤΟΥ ΚΟΡΜΟΥ ΚΑΙ ΤΟ ΠΕΡΙΝΕΟ· ΡΙΖΙΚΕΣ Ή ΤΡΟΠΟΠΟΙΗΜΕΝΕΣ-ΡΙΖΙΚΕΣ ΕΠΕΜΒΑΣΕΙΣ ΠΟΥ ΑΦΟΡΟΥΝ ΤΟ ΓΥΝΑΙΚΕΙΟ ΣΤΗΘΟΣ",Α
A400613,"ΑΝΑΙΣΘΗΣΙΑ ΓΙΑ ΕΠΕΜΒΑΣΕΙΣ ΠΟΥ ΑΦΟΡΟΥΝ ΤΟ ΔΕΡΜΑ ΣΤΑ ΑΚΡΑ, ΤΟ ΠΡΟΣΘΙΟ ΤΜΗΜΑ ΤΟΥ ΚΟΡΜΟΥ ΚΑΙ ΤΟ ΠΕΡΙΝΕΟ· ΡΙΖΙΚΕΣ Ή ΤΡΟΠΟΠΟΙΗΜΕΝΕΣ-ΡΙΖΙΚΕΣ ΕΠΕΜΒΑΣΕΙΣ ΠΟΥ ΑΦΟΡΟΥΝ ΤΟ ΓΥΝΑΙΚΕΙΟ ΣΤΗΘΟΣ ΜΕ ΕΚΤΟΜΗ ΟΖΟΥ",Α
A400621,"ΑΝΑΙΣΘΗΣΙΑ ΓΙΑ ΕΠΕΜΒΑΣΕΙΣ ΠΟΥ ΑΦΟΡΟΥΝ ΤΟ ΔΕΡΜΑ ΣΤΑ ΑΚΡΑ, ΤΟ ΠΡΟΣΘΙΟ ΤΜΗΜΑ ΤΟΥ ΚΟΡΜΟΥ ΚΑΙ ΤΟ ΠΕΡΙΝΕΟ· ΗΛΕΚΤΡΙΚΗ ΑΝΑΤΑΞΗ ΑΡΡΥΘΜΙΩΝ",Α
A400701,ΑΝΑΙΣΘΗΣΙΑ ΓΙΑ ΕΠΕΜΒΑΣΕΙΣ ΠΟΥ ΑΦΟΡΟΥΝ ΤΗΝ ΚΛΕΙΔΑ ΚΑΙ ΤΗΝ ΩΜΟΠΛΑΤΗ·ΔΕΝ ΠΡΟΣΔΙΟΡΙΖΕΤΑΙ ΠΕΡΑΙΤΕΡΩ,Α
A400705,ΑΝΑΙΣΘΗΣΙΑ ΓΙΑ ΕΠΕΜΒΑΣΕΙΣ ΠΟΥ ΑΦΟΡΟΥΝ ΤΗΝ ΚΛΕΙΔΑ ΚΑΙ ΤΗΝ ΩΜΟΠΛΑΤΗ· ΡΙΖΙΚΗ ΕΠΕΜΒΑΣΗ,Α
A400709,ΑΝΑΙΣΘΗΣΙΑ ΓΙΑ ΕΠΕΜΒΑΣΕΙΣ ΠΟΥ ΑΦΟΡΟΥΝ ΤΗΝ ΚΛΕΙΔΑ ΚΑΙ ΤΗΝ ΩΜΟΠΛΑΤΗ· ΒΙΟΨΙΑ ΣΤΗΝ ΚΛΕΙΔΑ,Α
A400741,ΑΝΑΙΣΘΗΣΙΑ ΓΙΑ ΜΕΡΙΚΗ ΕΚΤΟΜΗ ΤΩΝ ΠΛΕΥΡΩΝ· ΔΕΝ ΠΡΟΣΔΙΟΡΙΖΕΤΑΙ ΠΕΡΑΙΤΕΡΩ,Α
A400745,ΑΝΑΙΣΘΗΣΙΑ ΓΙΑ ΜΕΡΙΚΗ ΕΚΤΟΜΗ ΤΩΝ ΠΛΕΥΡΩΝ· ΘΩΡΑΚΟΠΛΑΣΤΙΚΗ (ΟΠΟΙΟΥΔΗΠΟΤΕ ΕΙΔΟΥΣ),Α
A400749,ΑΝΑΙΣΘΗΣΙΑ ΓΙΑ ΜΕΡΙΚΗ ΕΚΤΟΜΗ ΤΩΝ ΠΛΕΥΡΩΝ· ΡΙΖΙΚΕΣ ΕΠΕΜΒΑΣΕΙΣ (Π.Χ. ΘΩΡΑΚΑΣ ΥΠΟΔΗΜΑΤΟΠΟΙΩΝ),Α
A400801,ΑΝΑΙΣΘΗΣΙΑ ΓΙΑ ΟΛΕΣ ΤΙΣ ΕΠΕΜΒΑΣΕΙΣ ΠΟΥ ΑΦΟΡΟΥΝ ΤΟΝ ΟΙΣΟΦΑΓΟ,Α
A400841,ΑΝΑΙΣΘΗΣΙΑ ΓΙΑ ΕΠΕΜΒΑΣΕΙΣ ΜΕ ΚΛΕΙΣΤΟ ΘΩΡΑΚΙΚΟ ΤΟΙΧΩΜΑ· (ΣΥΜΠΕΡΙΛΑΜΒΑΝΟΜΕΝΗΣ ΤΗΣ ΒΡΟΓΧΟΣΚΟΠΗΣΗΣ) ΔΕΝ ΠΡΟΣΔΙΟΡΙΖΕΤΑΙ ΠΕΡΑΙΤΕΡΩ,Α
A400845,ΑΝΑΙΣΘΗΣΙΑ ΓΙΑ ΕΠΕΜΒΑΣΕΙΣ ΜΕ ΚΛΕΙΣΤΟ ΘΩΡΑΚΙΚΟ ΤΟΙΧΩΜΑ· ΒΙΟΨΙΑ ΔΙ' ΑΝΑΡΡΟΦΗΣΗΣ ΜΕ ΒΕΛΟΝΑ ΑΠΟ ΤΟΝ ΥΠΕΖΩΚΟΤΑ,Α
A400849,ΑΝΑΙΣΘΗΣΙΑ ΓΙΑ ΕΠΕΜΒΑΣΕΙΣ ΜΕ ΚΛΕΙΣΤΟ ΘΩΡΑΚΙΚΟ ΤΟΙΧΩΜΑ· ΠΑΡΑΚΕΝΤΗΣΗ ΤΟΥ ΠΝΕΥΜΟΝΟΣ,Α
A400857,ΑΝΑΙΣΘΗΣΙΑ ΓΙΑ ΕΠΕΜΒΑΣΕΙΣ ΜΕ ΚΛΕΙΣΤΟ ΘΩΡΑΚΙΚΟ ΤΟΙΧΩΜΑ· ΜΕΣΟΘΩΡΑΚΟΣΚΟΠΗΣΗ ΚΑΙ ΔΙΑΓΝΩΣΤΙΚΗ ΘΩΡΑΚΟΣΚΟΠΗΣΗ ΧΩΡΙΣ ΜΗΧΑΝΙΚΟ ΑΕΡΙΣΜΟΥ ΤΟΥ ΕΝΟΣ ΠΝΕΥΜΟΝΑ,Α
A400859,ΑΝΑΙΣΘΗΣΙΑ ΓΙΑ ΕΠΕΜΒΑΣΕΙΣ ΜΕ ΚΛΕΙΣΤΟ ΘΩΡΑΚΙΚΟ ΤΟΙΧΩΜΑ· ΜΕΣΟΘΩΡΑΚΟΣΚΟΠΗΣΗ ΚΑΙ ΔΙΑΓΝΩΣΤΙΚΗ ΘΩΡΑΚΟΣΚΟΠΗΣΗ ΜΕ ΜΗΧΑΝΙΚΟ ΑΕΡΙΣΜΟΥ ΤΟΥ ΕΝΟΣ ΠΝΕΥΜΟΝΑ,Α
A400861,ΑΝΑΙΣΘΗΣΙΑ ΓΙΑ ΤΟΠΟΘΕΤΗΣΗ ΜΟΝΙΜΟΥ ΔΙΑΦΛΕΒΙΟΥ ΒΗΜΑΤΟΔΟΤΗ,Α
A400865,ΑΝΑΙΣΘΗΣΙΑ ΓΙΑ ΠΡΟΣΒΑΣΗ ΣΤΗΝ ΚΕΝΤΡΙΚΗ ΦΛΕΒΙΚΗ ΚΥΚΛΟΦΟΡΙΑ,Α
A400869,ΑΝΑΙΣΘΗΣΙΑ ΓΙΑ ΔΙΑΦΛΕΒΙΑ ΕΙΣΑΓΩΓΗ Ή ΑΝΤΙΚΑΤΑΣΤΑΣΗ TOY ΑΠΙΝΙΔΩΤΗ-ΒΗΜΑΤΟΔΟΤΗ,Α
A400875,ΑΝΑΙΣΘΗΣΙΑ ΓΙΑ ΚΑΡΔΙΑΚΕΣ ΗΛΕΚΤΡΟΦΥΣΙΟΛΟΓΙΚΕΣ ΕΠΕΜΒΑΣΕΙΣ ΣΥΜΠΕΡΙΛΑΜΒΑΝΟΜΕΝΗΣ ΤΗΣ ΑΦΑΙΡΕΣΗΣ ΜΕ ΡΑΔΙΟΣΥΧΝΟΤΗΤΑ,Α
A400879,ΑΝΑΙΣΘΗΣΙΑ ΓΙΑ ΤΡΑΧΕΙΟΒΡΟΓΧΙΚΗ ΑΝΑΚΑΤΑΣΚΕΥΗ,Α
A400881,"ΑΝΑΙΣΘΗΣΙΑ ΓΙΑ ΕΠΕΜΒΑΣΕΙΣ ΘΩΡΑΚΟΤΟΜΗΣ ΠΟΥ ΑΦΟΡΟΥΝ ΤΟΥΣ ΠΝΕΥΜΟΝΕΣ, ΤΟΝ ΥΠΕΖΩΚΟΤΑ, ΤΟ ΔΙΑΦΡΑΓΜΑ ΚΑΙ ΤΟ ΜΕΣΟΘΩΡΑΚΙΟ (ΣΥΜΠΕΡΙΛΑΜΒΑΝΟΜΕΝΗΣ ΚΑΙ ΤΗΣ ΧΕΙΡΟΥΡΓΙΚΗΣ ΘΩΡΑΚΟΣΚΟΠΗΣΗΣ)·ΔΕΝ ΠΡΟΣΔΙΟΡΙΖΕΤΑΙ ΠΕΡΑΙΤΕΡΩ",Α
A400883,"ΑΝΑΙΣΘΗΣΙΑ ΓΙΑ ΕΠΕΜΒΑΣΕΙΣ ΘΩΡΑΚΟΤΟΜΗΣ ΠΟΥ ΑΦΟΡΟΥΝ ΤΟΥΣ ΠΝΕΥΜΟΝΕΣ, ΤΟΝ ΥΠΕΖΩΚΟΤΑ, ΤΟ ΔΙΑΦΡΑΓΜΑ, ΚΑΙ ΤΟ ΜΕΣΟΘΩΡΑΚΙΟ (ΣΥΜΠΕΡΙΛΑΜΒΑΝΟΜΕΝΗΣ ΤΗΣ ΧΕΙΡΟΥΡΓΙΚΗΣ ΘΩΡΑΚΟΣΚΟΠΗΣΗΣ)· ΜΕ ΜΗΧΑΝΙΚΟ ΑΕΡΙΣΜΟΥ ΤΟΥ ΕΝΟΣ ΠΝΕΥΜΟΝΑ",Α
A400885,"ΑΝΑΙΣΘΗΣΙΑ ΓΙΑ ΕΠΕΜΒΑΣΕΙΣ ΘΩΡΑΚΟΤΟΜΗΣ ΠΟΥ ΑΦΟΡΟΥΝ ΤΟΥΣ ΠΝΕΥΜΟΝΕΣ, ΤΟΝ ΥΠΕΖΩΚΟΤΑ, ΤΟ ΔΙΑΦΡΑΓΜΑ ΚΑΙ ΤΟ ΜΕΣΟΘΩΡΑΚΙΟ (ΣΥΜΠΕΡΙΛΑΜΒΑΝΟΜΕΝΗΣ ΤΗΣ ΧΕΙΡΟΥΡΓΙΚΗΣ ΘΩΡΑΚΟΣΚΟΠΗΣΗΣ)· ΑΠΟΦΛΟΙΩΣΗ ΤΟΥ ΥΠΕΖΩΚΟΤΟΣ",Α
