product_id,product_name,route,country,holder
48,Actonel Gr,Oral Use,Greece,Innovis Pharma
49,Actonel Oaw/«μία Φορά Την Εβδομάδα»,Oral Use,Greece,Innovis Pharma
50,Acular,Ocular Use,Greece,Abbvie Pharmaceuticals S.A.
51,Adaferin,Cutaneous Use,Greece,Galderma International
52,Adapalene + Benzoyl Peroxide Laboratoires Medgen,Cutaneous Use,Greece,Laboratoires Medgen
53,Adapton D,Oral Use,Greece,Uni-Pharma Kleon Tsetis Pharmaceutical Laboratories S.A.
54,Adaptoplast,Cutaneous Use,Greece,Vican S.A.
55,Adaptoplast Callous Caps,Cutaneous Use,Greece,Vican S.A.
56,Addamel-N New,Intravenous Use,Greece,Fresenius Kabi Hellas Single Member S.A.
57,Adefocin,"Intramuscular Use ,Intravenous Use",Greece,Adelco Chromatourgia Athinon E Colocotronis Bros Sa
58,Adefocin,Intravenous Use,Greece,Adelco Chromatourgia Athinon E Colocotronis Bros Sa
59,Adelcort®,Oral Use,Greece,Adelco Chromatourgia Athinon E Colocotronis Bros Sa
60,Adelone,Ocular Use,Greece,Cooper Pharmaceuticals S.A.
61,Adenorythm,Intravenous Use,Greece,Vianex S.A.
62,Adeprenal,Oral Use,Greece,Adelco Chromatourgia Athinon E Colocotronis Bros Sa
63,Adicanil,Oral Use,Greece,Innovis Pharma
64,Adifen,Oral Use,Greece,Medicamerc Pharmaceuticals S.A
65,Adifen 10mg,Oral Use,Greece,Medicamerc Pharmaceuticals S.A
66,Adimuplan,Oral Use,Greece,Sandoz Pharmaceuticals D.D.
67,Admiral,Oral Use,Greece,Sja Pharm Ltd
68,Adovia,Oral Use,Greece,Medochemie Hellas Sa
69,Adrenaline Demo,"Intracardiac Use ,Intramuscular Use ,Intraosseous Use ,Intrathecal Use ,Intravenous Use ,Subcutaneous Use",Greece,Demo Abee
70,Adrenaline Injection Ariti,"Endotracheopulmonary Use ,Intramuscular Use ,Intraosseous Use ,Intravenous Use ,Subcutaneous Use",Greece,Ariti Sa
71,Adriblastina,"Intravenous Use ,Intravesical Use",Greece,Pfizer Hellas A.E.
72,Adrotan,Oral Use,Greece,Win Medica Sa
73,Adtreat,Oral Use,Greece,Provident Pharmaceuticals Ltd
74,Advantan,Cutaneous Use,Greece,Leo Pharma A/S
75,Advil,Oral Use,Greece,Haleon Hellas Single Member Societe Anonyme
76,Advil Forte,Oral Use,Greece,Haleon Hellas Single Member Societe Anonyme
77,Aerolin,Inhalation Use,Greece,Glaxosmithkline Single Member A.E.B.E.
78,Aerolin,Inhalation Use,Greece,Glaxosmithkline Single Member A.E.B.E.
79,Aetopia,Intravenous Use,Greece,Pharmathen S.A.
80,Aetopia,Oral Use,Greece,Pharmathen S.A.
81,Afimax,Oral Use,Greece,Faran S.A.
82,Aflen,Oral Use,Greece,Galenica Sa
83,Afloxol,Intravenous Use,Greece,Ioulia And Irene Tseti Pharmaceutical Laboratories S.A.
84,Afloxol,Oral Use,Greece,Ioulia And Irene Tseti Pharmaceutical Laboratories S.A.
85,Afluon,Ocular Use,Greece,Cooper Consumer Health B.V.
86,Agardon,Oral Use,Greece,Elpen Pharmaceutical Co. Inc.
87,Agelmin,Oral Use,Greece,Kleva Pharmaceuticals
88,Aggrastat,Intravenous Use,Greece,Vianex S.A.
89,Agilinta,Oral,Greece,Libytec Pharmaceutical S.A.
90,Aicisi,Ocular Use,Greece,Omnivision Gmbh
91,Aidol,Oral Use,Greece,Iasis Pharma
92,Aircodos,Oral Use,Greece,Genepharm S.A.
93,Akineton,Oral Use,Greece,Desma Gmbh
94,Akineton,"Intramuscular Use ,Intravenous Use",Greece,Desma Gmbh
95,Akivass,Oral Use,Greece,Medochemie Hellas Sa
96,Akratol,Oral Use,Greece,Rafarm Sa.
97,Alapril,Oral Use,Greece,Raldex Enterprises Ltd
98,Albendol,Oral Use,Greece,Vianex S.A.
99,Albiomin,Intravenous Use,Greece,Biotest Pharma Gmbh
100,Albumeon,Intravenous Use,Greece,Csl Behring E.P.E.
101,Albumeon,Intravenous Use,Greece,Csl Behring E.P.E.
102,Albumine Lfb,Intravenous Use,Greece,Vianex S.A.
103,Alburex,Intravenous Use,Greece,Csl Behring Gmbh
104,Albutein,Intravenous Use,Greece,Demo Abee
105,Alcaine,Ocular Use,Greece,Alcon Laboratories Hellas- Single Member S.A.C.I
106,Alcinin,Oral Use,Greece,Innovis Pharma
107,Aldactone,Oral Use,Greece,Pfizer Hellas A.E.
108,Alerxem,Cutaneous Use,Greece,Kleva Pharmaceuticals
109,Alerxem,Nasal Use,Greece,Kleva Pharmaceuticals
110,Alestopor,Oral Use,Greece,Bennett Pharmaceuticals Sa
111,Alevior,Oral Use,Greece,Medicair Bioscience Laboratories Ανωνυμη Φαρμακευτικη Εταιρεια
112,Alfagem,"Intramuscular Use ,Intravenous Use",Greece,Medochemie Hellas Sa
113,Alfudex,Oral Use,Greece,Bioneuron Pharmaceuticals Ltd
114,Alfural Pr,Oral Use,Greece,Rafarm Sa.
115,Alfuzin,Oral Use,Greece,Ariti Sa
116,Algecia,Oral Use,Greece,Elpen Pharmaceutical Co. Inc.
117,Algesal Suractive,Cutaneous Use,Greece,Pharmaselect International Beteiligungs Gmbh
118,Algine,Oral Use,Greece,Adelco Chromatourgia Athinon E Colocotronis Bros Sa
119,Algocit,Intravenous Use,Greece,Demo Abee
120,Algofren,Cutaneous Use,Greece,Ioulia And Irene Tseti Pharmaceutical Laboratories S.A.
121,Algofren,Oral Use,Greece,Ioulia And Irene Tseti Pharmaceutical Laboratories S.A.
122,Algofren,Rectal Use,Greece,Ioulia And Irene Tseti Pharmaceutical Laboratories S.A.
123,Algofren Compositum,Oral Use,Greece,Ioulia And Irene Tseti Pharmaceutical Laboratories S.A.
124,Algofrenelle,Vaginal Use,Greece,Ioulia And Irene Tseti Pharmaceutical Laboratories S.A.
125,Algon,Oral Use,Greece,Lavipharm S.A
126,Algopress,Rectal Use,Greece,Ioulia And Irene Tseti Pharmaceutical Laboratories S.A.
127,Algotra,Oral Use,Greece,Anabiosis S.A.
128,Alkacitrat,Oral Use,Greece,Uni-Pharma Kleon Tsetis Pharmaceutical Laboratories S.A.
129,Allegra,Oral Use,Greece,Opella Healthcare Greece Single Member Ltd.
130,Allegra Hives,Oral Use,Greece,Opella Healthcare Greece Single Member Ltd.
131,Allergotin,Ocular Use,Greece,Cooper Pharmaceuticals S.A.
132,Allergotin Plus,Ocular Use,Greece,Cooper Pharmaceuticals S.A.
133,Alluzience,Intramuscular Use,Greece,Ipsen Pharma
134,Almerzac,Oral Use,Greece,Pharmazac Sa
135,Almogran,Oral Use,Greece,"Almirall, S.A."
136,Alopatan,Ocular Use,Greece,Cooper Pharmaceuticals S.A.
137,Aloperidin,Intramuscular Use,Greece,Essential Pharma Limited
138,Aloperidin,Oral Use,Greece,Essential Pharma Limited
139,Aloperidin Decanoas,Intramuscular Use,Greece,Essential Pharma Limited
140,Aloperidin Decanoas,Intramuscular Use,Greece,Janssen-Cilag Pharmaceutical S.A.C.I.
141,Alopexy,Cutaneous Use,Greece,Pierre Fabre Farmaka Sa
142,Alopril,Oral Use,Greece,Pharmabelle Ltd
143,Alpha - Plus,Oral Use,Greece,Genepharm S.A.
144,Alphacal,Oral Use,Greece,Energon Pharmaceuticals Ltd
145,Alphagan,Ocular Use,Greece,Abbvie Pharmaceuticals S.A.
146,Alphazol,Oral Use,Greece,Vocate Φαρμακευτικη Αε
147,Alpider,Cutaneous Use,Greece,Lamda Laboratories S.A.
148,Alprazolam Aurobindo,Oral Use,Greece,Aurobindo Pharma (Malta) Limited
149,Alprazolam Grindeks,Oral Use,Greece,Grindeks
150,Alsteride,Oral Use,Greece,Viofar Ltd
151,Altermon,"Intramuscular Use ,Subcutaneous Use",Greece,Faran S.A.
152,Altoram,Oral Use,Greece,Libytec Pharmaceutical S.A.
153,Aludrox,Oral Use,Greece,Haleon Hellas Single Member Societe Anonyme
154,Alvesco,Inhalation Use,Greece,Covis Pharma Europe B.V.
155,Alvidor,Oral Use,Greece,Rafarm Sa.
156,Alvoda,Oral Use,Greece,Pharmazac Sa
157,Alvofer,Intravenous Use,Greece,Cooper Pharmaceuticals S.A.
158,Alzirax,Oral Use,Greece,Rafarm Sa.
159,Amarhyton,Oral Use,Greece,Swyssi Ag
160,Ambicipen,Oral Use,Greece,Elpen Pharmaceutical Co. Inc.
161,Ambisome Liposomal,Intravenous Use,Greece,Gilead Sciences Hellas M.E.P.E.
162,Ambrisentan Accord,Oral Use,Greece,Accord Healthcare S.L.U.
163,Ambrisentan Genepharm,Oral Use,Greece,Genepharm S.A.
164,Amelinor,Oral Use,Greece,Medical Pharmaquality Pharmaceuticals S.A.
165,Amibusin,"Epidural Use ,Infiltration ,Intraarticular Use ,Perineural Use",Greece,Demo Abee
166,Amicasil,"Intramuscular Use ,Intravenous Use",Greece,Cooper Pharmaceuticals S.A.
167,Amikacin Anfarm,"Intramuscular Use ,Intravenous Use",Greece,Anfarm Hellas Sa
168,Amikacin B. Braun,Intravenous Use,Greece,B.Braun Melsungen Ag
169,Amikacin Kabi,Intravenous Use,Greece,Fresenius Kabi Hellas Single Member S.A.
170,Amikacin Kleva,"Intramuscular Use ,Intravenous Use",Greece,Kleva Pharmaceuticals
171,Amikacin Norma,"Intramuscular Use ,Intravenous Use",Greece,Norma Hellas S.A.
172,Amilopid,Oral Use,Greece,Vianex S.A.
173,Aminocer,Oral Use,Greece,Verisfield S.M.S.A
174,Aminocer,Oral Use,Greece,Verisfield S.M.S.A
175,Aminomix 1 Novum,Intravenous Use,Greece,Fresenius Kabi Hellas Single Member S.A.
176,Aminophylline Cooper,"Intramuscular Use ,Intravenous Use",Greece,Cooper Pharmaceuticals S.A.
177,Amiβusin,"Epidural Use ,Infiltration ,Intraarticular Use ,Perineural Use",Greece,Demo Abee
178,Amlibon Bes,Oral Use,Greece,Sandoz Gmbh
179,Amlodin,Oral Use,Greece,Bennett Pharmaceuticals Sa
180,Amlodipine Besilate Norma,Oral Use,Greece,Norma Hellas S.A.
181,Amlodipine Besilate Norma,Oral Use,Greece,Norma Hellas S.A.
182,Amlodipine+valsartan Tad,Oral Use,Greece,Tad Pharma Gmbh
183,Amlodipine+valsartan+hydrochlorothiazide Genepharm,Oral Use,Greece,Genepharm S.A.
184,Amlodipine+valsartan+hydrochlorothiazide Tad,Oral Use,Greece,Tad Pharma Gmbh
185,Amlopen,Oral Use,Greece,Elpen Pharmaceutical Co. Inc.
186,Amlopress,Oral Use,Greece,Fos Farmakeftiki Ike
187,Amlopress,Oral Use,Greece,Fos Farmakeftiki Ike
188,Amlotens,Oral Use,Greece,Pharmapath Sa
189,Amoduo,Oral Use,Greece,Win Medica Sa
190,Amoxil,Oral Use,Greece,Glaxosmithkline Single Member A.E.B.E.
191,Amoxil,Oral Use,Greece,Glaxosmithkline Single Member A.E.B.E.
192,Amphotericin B Tillomed,Intravenous Use,Greece,Tillomed Malta Ltd
193,Ampicillin Cooper,Intravenous Use,Greece,Cooper Pharmaceuticals S.A.
194,Ampine,Oral Use,Greece,Venifar Ltd
195,Ampitasol,Cutaneous Use,Greece,Pharmex S.A.
196,Ampres,Intrathecal Use,Greece,Sintetica Gmbh
197,Ampres,Perineural Use,Greece,Sintetica Gmbh
198,Anabifer,Intravenous Use,Greece,Anabiosis S.A.
199,Anaboline Depot,Intramuscular Use,Greece,Adelco Chromatourgia Athinon E Colocotronis Bros Sa
200,Anafranil,Oral Use,Greece,Pharmaand Gmbh
201,Anagrelide Aop,Oral Use,Greece,Aop Orphan Pharmaceuticals Gmbh
202,Anagrelide Teva,Oral Use,Greece,Teva B.V
203,Analept,Oral Use,Greece,Prime International Pharmaceuticals S.A.
204,Analipin,Oral Use,Greece,Ioulia And Irene Tseti Pharmaceutical Laboratories S.A.
205,Anapen,Intramuscular Use,Greece,Allertec Hellas S.A.
206,Anapen Junior,Intramuscular Use,Greece,Allertec Hellas S.A.
207,Anaplas,Cutaneous Use,Greece,Ioulia And Irene Tseti Pharmaceutical Laboratories S.A.
208,Anaplas,Cutaneous Use,Greece,Ioulia And Irene Tseti Pharmaceutical Laboratories S.A.
209,Anaprox,Oral Use,Greece,Galenica Sa
210,Anaptivan,"Intramuscular Use ,Intravenous Use",Greece,Help Abee
211,Anaquetan Xr,Oral Use,Greece,Anabiosis S.A.
212,Anarthril,Oral Use,Greece,Galenica Sa
213,Anastrogen,Oral Use,Greece,Viogen Pharmaceuticals
214,Anastrozole Demo,Oral Use,Greece,Demo Abee
215,Anastrozole Teva,Oral Use,Greece,Teva Pharma B.V.
216,Anchopriv,Oral Use,Greece,Pharmabelle Ltd
217,Ancilleg,Oral Use,Greece,Sandoz Gmbh
218,Andabra,Oral Use,Greece,Pharmathen S.A.
219,Androcur,Intramuscular Use,Greece,Advanz Pharma Limited
220,Androcur,Oral Use,Greece,Advanz Pharma Limited
221,Andropecia,Oral Use,Greece,Laboratoires Bailleul S.A.
222,Androxil,Cutaneous Use,Greece,Laboratoires Bailleul S.A.
223,Anefezyn,Oral Use,Greece,"Zentiva, K.S."
224,Aneprosil,Oral Use,Greece,Medicair Bioscience Laboratories Ανωνυμη Φαρμακευτικη Εταιρεια
225,Anexate®,Intravenous Use,Greece,Cheplapharm Arzneimittel Gmbh
226,Anfozan,Oral Use,Greece,Proel Epam G Koronis Sa Pharmaceuticals
227,Angoron,Intravenous Use,Greece,Sanofi-Aventis Monoprosopi A.E.B.E
228,Angoron,Oral Use,Greece,Sanofi-Aventis Monoprosopi A.E.B.E
229,Angusta,Oral Use,Greece,Azanta Danmark A/S
230,Anidulafungin Accord,Intravenous Use,Greece,Accord Healthcare S.L.U.
231,Anlamyl,Oral Use,Greece,Anfarm Hellas Sa
232,Anodutil-Venu,Rectal Use,Greece,Verisfield S.M.S.A
233,Anovis,Oral Use,Greece,Uni-Pharma Kleon Tsetis Pharmaceutical Laboratories S.A.
234,Anti-Asidoz,Oral Use,Greece,Medice Arzneimittel Pütter Gmbh & Co. Kg
235,Anticepim,"Intramuscular Use ,Intravenous Use",Greece,Verisfield S.M.S.A
236,Antichol,Oral Use,Greece,Help Abee
237,Antilerg-F,"Auricular Use ,Ocular Use",Greece,Demo Abee
238,Antipsichos,Oral Use,Greece,Proel Epam G Koronis Sa Pharmaceuticals
239,Antis,Oral Use,Greece,Εξελιξη Α.Ε.
240,Antivom,Oral Use,Greece,Uni-Pharma Kleon Tsetis Pharmaceutical Laboratories S.A.
241,Antizolid,Intravenous Use,Greece,Cooper Pharmaceuticals S.A.
242,Antorcin,Oral Use,Greece,Elpen Pharmaceutical Co. Inc.
243,Antorcin,Oral Use,Greece,Elpen Pharmaceutical Co. Inc.
244,Anusfelia,Rectal Use,Greece,Nassington Ltd
245,A-Ostin-D3,Oral Use,Greece,Venifar Ltd
246,Aova,Oral Use,Greece,Heremco
247,Aperneva,Oral Use,Greece,"Krka, D.D., Novo Mesto"
248,Apiclodem,Oral Use,Greece,Demo Abee
249,Apilone,Oral Use,Greece,Pharmathen Investments Group Limited
250,Apilone,Oral Use,Greece,Pharmathen Investments Group Limited
251,Apinovia,Oral Use,Greece,Innovis Pharma
252,Apixaban,Oral Use,Greece,Adalvo  Limited
253,Apixaban Aenorasis,Oral,Greece,Aenorasis S.A.
254,Apixaban Ariti,Oral Use,Greece,Ariti Sa
255,Apixaban Ebewe,Oral Use,Greece,Ebewe Pharma
256,Apixaban Farmaprojects,Oral Use,Greece,Farmaprojects S.A.U.
257,Apixaban Liconsa,Oral Use,Greece,"Laboratorios Liconsa, S.A."
258,Apixaban Mediapharm,Oral Use,Greece,Mediapharm Ltd
259,Apixaban Medicair,Oral Use,Greece,Medicair Bioscience Laboratories Ανωνυμη Φαρμακευτικη Εταιρεια
260,Apixaban Mylan,Oral Use,Greece,Mylan Pharmaceuticals Limited
261,Apixaban Sandoz,Oral Use,Greece,Sandoz Pharmaceuticals D.D.
262,Apixaban Velka,Oral Use,Greece,Velka Hellas S.A.
263,Apleria,Oral Use,Greece,"Krka, D.D., Novo Mesto"
264,Apo-Go Pfs,Subcutaneous Use,Greece,Itf Hellas S.A.
265,Apo-Go Pod,Subcutaneous Use,Greece,Itf Hellas S.A.
266,Apo-Go Συσκευή Τύπου Πένασ,Subcutaneous Use,Greece,Itf Hellas S.A.
267,Apotel,Intravenous Use,Greece,Uni-Pharma Kleon Tsetis Pharmaceutical Laboratories S.A.
268,Apotel,Oral Use,Greece,Uni-Pharma Kleon Tsetis Pharmaceutical Laboratories S.A.
269,Apotel,Oral Use,Greece,Uni-Pharma Kleon Tsetis Pharmaceutical Laboratories S.A.
270,Apotel,Rectal Use,Greece,Uni-Pharma Kleon Tsetis Pharmaceutical Laboratories S.A.
271,Apotel C-500,Oral Use,Greece,Uni-Pharma Kleon Tsetis Pharmaceutical Laboratories S.A.
272,Apotel Cold & Flu Day & Night,Oral Use,Greece,Uni-Pharma Kleon Tsetis Pharmaceutical Laboratories S.A.
273,Apotel Max,Intravenous Use,Greece,Uni-Pharma Kleon Tsetis Pharmaceutical Laboratories S.A.
274,Apotel Plus,Intramuscular Use,Greece,Uni-Pharma Kleon Tsetis Pharmaceutical Laboratories S.A.
275,Apotel Άρωμα Espresso,Oral Use,Greece,Uni-Pharma Kleon Tsetis Pharmaceutical Laboratories S.A.
276,Apotel Εχτrα,Oral Use,Greece,Uni-Pharma Kleon Tsetis Pharmaceutical Laboratories S.A.
277,Apotel Πρόπολη,Oral Use,Greece,Uni-Pharma Kleon Tsetis Pharmaceutical Laboratories S.A.
278,Apredonav,Oral Use,Greece,Medochemie Hellas Sa
279,Apregalin,Oral Use,Greece,Pharmazac Sa
280,Apremilast Anabiosis,Oral Use,Greece,Anabiosis S.A.
281,Apremilast Ebewe,Oral Use,Greece,Ebewe Pharma
282,Apremilast Sandoz,Oral Use,Greece,Sandoz Pharmaceuticals D.D.
283,Apremilast Stada,Oral Use,Greece,Stada Arzneimittel Ag
284,Apremilast Teva,Oral Use,Greece,Teva B.V
285,Apremilast Win Medica,Oral Use,Greece,Win Medica Sa
286,Apremo,Oral Use,Greece,Demo Abee
287,Aprepitant Win Medica,Oral Use,Greece,Win Medica Sa
288,Aprinol,Oral Use,Greece,Anfarm Hellas Sa
289,Aproxxamlo,Oral Use,Greece,Sanofi-Aventis Monoprosopi A.E.B.E
290,Apsoderm,Cutaneous Use,Greece,Rafarm Sa.
291,Aquetia,Oral Use,Greece,Itf Hellas S.A.
292,Aracytin,"Intrathecal Use ,Intravenous Use ,Subcutaneous Use",Greece,Pfizer Hellas A.E.
293,Arbonid,Cutaneous Use,Greece,Ioulia And Irene Tseti Pharmaceutical Laboratories S.A.
294,Arcoxia,Oral Use,Greece,Vianex S.A.
295,Aregalu,Oral Use,Greece,"Krka, D.D., Novo Mesto"
296,Arezil Xr,Oral Use,Greece,Tad Pharma Gmbh
297,Argiodin,Oral Use,Greece,Elpen Pharmaceutical Co. Inc.
298,Aricept,Oral Use,Greece,Pfizer Hellas A.E.
299,Aricitol,Intravenous Use,Greece,Ariti Sa
300,Arimidex,Oral Use,Greece,Laboratoires Juvise Pharmaceuticals
301,Aripezil,Oral Use,Greece,Innovis Pharma
302,Aripility,Oral Use,Greece,Sja Pharm Ltd
303,Aripiprazole Genepharm,Oral Use,Greece,Genepharm S.A.
304,Aripiprazole Stada,Intramuscular Use,Greece,Stada Arzneimittel Ag
305,Aripral,Oral Use,Greece,Venifar Ltd
306,Arisppa,Oral Use,Greece,"Krka, D.D., Novo Mesto"
307,Aristin-C,Intravenous Use,Greece,Anfarm Hellas Sa
308,Arlevert,Oral Use,Greece,Hennig Arzneimittel Gmbh & Co. Kg
309,Arlina,Oral Use,Greece,Rafarm Sa.
310,Arogio,Oral Use,Greece,Elpen Pharmaceutical Co. Inc.
311,Aromaplex,Oral Use,Greece,Genepharm S.A.
312,Aromasin,Oral Use,Greece,Pfizer Hellas A.E.
313,Aromestan,Oral Use,Greece,Pharmazac Sa
314,Arpilif,Oral Use,Greece,Elpen Pharmaceutical Co. Inc.
315,Arplexam,Oral Use,Greece,Servier Hellas Pharmaceuticals Ltd
316,Arpoya,Oral Use,Greece,Pharmathen Investments Group Limited
317,Arthrofar,Oral Use,Greece,Vocate Φαρμακευτικη Αε
318,Arthroplus,Oral Use,Greece,Target Pharma Single Member Private Ltd
319,Arthrorein,Oral Use,Greece,Vian S.A.
320,Arthryal,Intraarticular Use,Greece,Pharmazac Sa
321,Articlox,Intramuscular Use,Greece,Uni-Pharma Kleon Tsetis Pharmaceutical Laboratories S.A.
322,Articlox,"Intramuscular Use ,Intravenous Use",Greece,Uni-Pharma Kleon Tsetis Pharmaceutical Laboratories S.A.
323,Artroxicam,Oral Use,Greece,Farmellas Enterprises Ltd
324,Arvastatil,Oral Use,Greece,Vian S.A.
325,Arvastatil,Oral Use,Greece,Vian S.A.
326,Arvekap,Intramuscular Use,Greece,Ipsen M.E.P.E.
327,Arvekap,"Intramuscular Use ,Subcutaneous Use",Greece,Ipsen M.E.P.E.
328,Arvekap,Subcutaneous Use,Greece,Ipsen M.E.P.E.
329,Asacol,Oral Use,Greece,"Tillotts Pharma Italy, S.R.L.,"
330,Asacol,Rectal Use,Greece,"Tillotts Pharma Italy, S.R.L.,"
331,Asalazin,Oral Use,Greece,Farmellas Enterprises Ltd
332,Asarkin,Oral Use,Greece,Vianex S.A.
333,Ascolin,Oral Use,Greece,Uni-Pharma Kleon Tsetis Pharmaceutical Laboratories S.A.
334,Asmanex Twisthaler,"Cutaneous Use ,Inhalation Use ,Intradermal Use ,Oral Use",Greece,N.V. Organon
335,Asmanex Twisthaler,Inhalation Use,Greece,N.V. Organon
336,Aspagin,Oral Use,Greece,Proel Epam G Koronis Sa Pharmaceuticals
337,Aspendos,Oral Use,Greece,Medochemie Hellas Sa
338,Aspirin,Oral Use,Greece,Bayer Hellas Sa
339,Aspirin Ec,Oral Use,Greece,Bayer Hellas Sa
340,Aspirin-C,Oral Use,Greece,Bayer Hellas Sa
341,Assoprol,Intravenous Use,Greece,Sja Pharm Ltd
342,Assoprol,Oral Use,Greece,Sja Pharm Ltd
343,Assosept-S,Oral Use,Greece,Sja Pharm Ltd
344,Asthmotrat,Oral Use,Greece,Ioulia And Irene Tseti Pharmaceutical Laboratories S.A.
345,Astizia,Oral Use,Greece,Elpen Pharmaceutical Co. Inc.
346,Asto-Chol,Oral,Greece,Doc Pharma Ae
347,Asugrin,Oral Use,Greece,Uni-Pharma Kleon Tsetis Pharmaceutical Laboratories S.A.
348,Atacand,Oral Use,Greece,Cheplapharm Arzneimittel Gmbh
349,Atacand Plus,Oral Use,Greece,Cheplapharm Arzneimittel Gmbh
350,Atama,Oral Use,Greece,Pharmathen S.A.
351,Atanto,Oral Use,Greece,Pharmathen S.A.
352,Atarax,Oral Use,Greece,Ucb A.E.
353,Atentus,Oral Use,Greece,Lab.Newmed Pharmaceuticals Ltd
354,Atentus,Oral Use,Greece,Lab.Newmed Pharmaceuticals Ltd
355,Atixarso,Oral Use,Greece,"Krka, D.D., Novo Mesto"
356,Atodrit-Dermo,Cutaneous Use,Greece,Verisfield S.M.S.A
357,Ator-Chol,Oral Use,Greece,Mediapharm Ltd
358,Ator-Chol-Plus,Oral Use,Greece,Mediapharm Ltd
359,Atorgon,Oral Use,Greece,Novendia Pharmaceuticals Ltd
360,Atoridor,Oral Use,Greece,"Krka, D.D., Novo Mesto"
361,Atorlip,Oral Use,Greece,"Lyofin Ltd, Greece"
362,Atormax,Oral Use,Greece,Sja Pharm Ltd
363,Atorplus,Oral Use,Greece,Sja Pharm Ltd
364,Atorstat,Oral Use,Greece,Pharmapath Sa
365,Atorval,Oral Use,Greece,Bennett Pharmaceuticals Sa
366,Atorval Plus,Oral Use,Greece,Bennett Pharmaceuticals Sa
367,Atorvalet,Oral Use,Greece,Lapapharm S.A.
368,Atorvanox,Oral Use,Greece,Verisfield S.M.S.A
369,Atorvastatin Mylan,Oral Use,Greece,Mylan Pharmaceuticals Limited
370,Atorvastatin Sandoz,Oral Use,Greece,Sandoz Gmbh
371,Atorvastatin Velka,Oral Use,Greece,Velka Hellas S.A.
372,Atorvastatin/Kleva 10mg,Oral Use,Greece,Kleva Pharmaceuticals
373,Atorvastatin/Kleva 20mg,Oral Use,Greece,Kleva Pharmaceuticals
